87	6	27.9013	68.2069
94	9	32.3397	80.8159
6	40	41.8631	9.49351
2	192	64.2677	9.43839
6	207	69.1701	12.6201
10	215	72.3532	15.1047
14	221	75.171	17.959
25	232	81.803	20.9673
32	236	85.9272	18.4854
49	241	90.2474	21.4098
55	2	148.002	33.9391
72	2	154.13	44.8717
74	2	155.219	44.9429
2	55	167.314	5.59708
2	192	196.428	6.32306
6	207	201.356	8.57481
10	215	204.461	10.3441
14	221	207.159	12.3657
25	232	213.386	14.455
32	236	217.103	12.3097
49	241	223.502	17.6438
55	2	283.11	33.071
72	2	289.18	43.8812
2	55	302.451	5.67136
2	192	331.681	6.13585
6	207	336.637	8.37611
10	215	339.764	10.1492
14	221	342.484	12.1735
25	232	348.757	14.2904
32	236	352.496	12.1732
49	241	359.029	17.6395
