65	22	9.524	8.19555
64	19	11.2083	9.17368
63	16	12.9808	11.8458
54	6	20.434	28.097
50	129	45.4771	5.27042
47	130	47.0543	6.19441
40	132	51.5403	11.0921
27	132	55.5825	18.6823
40	1	94.164	10.5765
34	1	95.2365	11.1245
50	129	127.487	5.19364
47	130	129.199	6.14713
44	131	131.175	7.71885
40	132	133.956	11.589
34	132	135.663	12.792
12	7	166.493	3.54156
17	4	169.446	5.20932
20	3	171.005	5.65012
23	2	172.823	7.08447
27	1	175.569	9.84083
33	1	177.106	11.0202
50	129	209.925	5.22575
47	130	211.654	6.19318
44	131	213.649	7.791
40	132	216.458	11.7585
35	132	218.034	12.804
12	7	248.999	3.54859
17	4	251.958	5.22273
20	3	253.52	5.66612
23	2	255.341	7.10764
27	1	258.091	9.88544
33	1	259.604	11.036
50	129	292.441	5.23002
47	130	294.17	6.19838
44	131	296.165	7.79786
40	132	298.976	11.7718
35	132	300.545	12.8113
12	7	331.511	3.54935
17	4	334.47	5.22393
20	3	336.033	5.66746
23	2	337.854	7.10943
27	1	340.604	9.88854
33	1	342.115	11.0368
50	129	374.951	5.2303
47	130	376.681	6.19871
44	131	378.676	7.79829
40	132	381.487	11.7726
35	132	383.055	12.8117
12	7	414.022	3.54939
17	4	416.981	5.224
20	3	418.543	5.66754
23	2	420.364	7.10953
27	1	423.114	9.88873
33	1	424.626	11.0368
50	129	457.462	5.23031
47	130	459.191	6.19873
44	131	461.187	7.79831
