66	94
94	44
23	82
83	44
154	81
94	44
23	82
82	44
154	81
105	52
99	46
23	82
66	94
71	53
99	46
109	58
115	61
126	62
154	81
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
82	44
99	46
105	52
126	62
154	80
109	58
107	55
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
154	80
109	58
78	46
71	53
62	61
51	62
23	82
71	53
99	46
105	52
126	62
