1.8997	162	358
9.4617	162	358
9.9182	149	355
15.7395	235	254
16.3984	234	251
17.5178	232	246
18.143	231	243
18.909	230	240
19.6518	229	237
20.8961	228	232
21.6385	227	229
22.6885	227	225
23.4754	226	222
24.3003	226	219
25.6616	225	214
26.5064	224	211
27.3714	223	208
28.1996	222	205
28.839	221	203
29.3761	220	201
30.0052	219	199
30.6193	218	197
30.9152	217	196
31.5816	216	194
31.8875	215	193
32.2695	214	192
32.9564	213	190
33.308	212	189
33.6704	211	188
34.0434	210	187
34.4275	209	186
34.8233	208	185
35.2313	207	184
35.9534	205	182
36.5904	203	181
37.0183	202	180
37.2226	201	180
37.8863	199	178
38.4473	197	177
39.0014	195	176
39.3879	193	176
40.2526	190	174
41.0142	186	173
41.6342	183	172
42.2433	180	171
42.8391	177	170
43.5084	174	169
43.6921	173	169
44.0276	172	168
44.2311	171	168
44.574	170	167
44.7862	169	167
45.1356	168	166
45.354	167	166
45.709	166	165
45.9327	165	165
46.2922	164	164
46.5208	163	164
46.8836	162	163
47.1158	161	163
47.4789	160	162
47.7109	159	162
48.064	158	161
48.4352	157	160
49.155	155	159
49.4005	154	159
49.6821	154	158
49.9325	153	158
50.8062	153	156
51.4157	152	155
51.6661	151	155
52.727	151	153
54.1185	150	151
54.8781	149	150
55.1788	148	150
56.5133	148	148
57.4005	113	163
57.869	146	147
58.3781	146	146
58.936	145	146
59.4478	145	145
60.1094	144	145
60.6592	144	144
61.4419	143	144
62.412	142	143
63.6263	141	142
64.6465	113	154
65.8785	139	141
67.7739	137	141
68.8523	114	151
70.184	135	140
71.9647	115	149
74.986	128	140
77.2989	126	141
78.0211	118	145
79.8976	124	141
80.6298	120	143
81.2663	121	142
98.0351	205	182
98.6482	207	184
98.988	208	185
99.3385	209	186
99.6977	210	187
100.063	211	188
100.769	213	190
101.912	216	194
102.816	218	197
103.366	219	199
104.465	221	203
105.802	223	208
106.585	224	211
107.318	225	214
108.469	226	219
109.83	227	225
111.436	228	232
112.73	229	237
113.54	230	240
114.452	231	243
115.335	232	246
116.965	234	251
117.921	235	254
118.829	236	257
120.003	237	261
121.269	237	265
122.313	238	269
124.896	238	279
126.433	237	284
127.628	237	288
129.174	236	293
130.467	235	297
131.417	233	300
132.135	233	302
132.778	232	304
133.764	230	307
134.123	229	308
134.809	228	310
135.1	227	311
135.373	226	312
135.628	225	313
135.864	224	314
136.069	223	315
136.323	221	317
138.379	205	333
139.368	203	336
139.793	202	337
140.627	201	339
141.095	200	340
142.15	199	342
142.657	198	343
143.217	197	344
143.809	196	345
144.436	195	346
145.105	194	347
145.825	193	348
146.608	192	349
147.46	191	350
148.192	190	351
149.534	188	352
150.331	187	353
151.964	185	354
153.4	183	355
155.102	181	356
157.585	178	357
161.417	173	358
164.982	162	358
166.17	159	358
180.807	221	317
183.516	225	313
184.218	226	312
185.571	228	310
185.901	228	309
187.099	230	307
187.435	230	306
188.412	232	304
189.261	233	302
189.927	233	300
190.994	235	297
192.152	236	293
193.512	237	288
194.702	237	284
195.955	238	279
198.431	238	269
199.64	237	265
200.794	237	261
201.896	236	257
202.717	235	254
203.447	234	251
204.376	232	246
205.196	230	240
205.644	229	237
206.423	228	232
207.727	227	225
209.126	226	219
210.412	225	214
211.258	224	211
212.151	223	208
213.04	222	205
213.729	221	203
215.034	219	199
215.733	218	197
216.86	216	194
217.68	214	192
218.596	213	190
219.051	212	189
219.517	211	188
219.997	210	187
