29	4	18.2711	377.066
14	3	23.1243	1676.31
53	128	44.0472	293.991
98	113	55.6576	850.642
90	42	65.4716	349.261
2	40	79.4025	320.048
4	21	87.4201	230.047
10	5	94.8208	989.737
31	115	115.711	222.847
98	113	131.952	725.429
90	42	142.213	298.13
61	31	149.5	276.866
57	28	150.59	276.742
2	40	156.908	306.509
10	5	172.275	944.946
31	115	194.258	215.24
97	114	210.383	713.621
87	41	221.405	292.509
66	35	226.786	274.949
57	28	229.66	276.998
2	41	235.628	300.437
10	5	251.455	932.007
94	116	290.205	704.983
87	41	301.663	294.862
66	35	306.947	278.9
61	31	308.715	280.364
57	28	309.881	281.22
2	41	315.538	294.976
10	5	331.769	927.191
94	116	370.809	712.3
87	41	382.495	300.184
61	31	389.415	284.411
57	28	390.623	284.984
2	42	396.005	291.98
