15	15	1306.38	4.91094
13	12	1308.25	5.16162
9	7	1311.82	7.39825
7	4	1314.14	9.55293
5	1	1317.03	15.0441
60	87	1338.4	3.09891
20	22	1351.54	3.33808
18	19	1353.07	3.8229
15	15	1355.43	4.91094
13	12	1357.31	5.16162
9	7	1360.88	7.39825
7	4	1363.2	9.55293
5	1	1366.08	15.0441
60	87	1387.46	3.09891
20	22	1400.59	3.33808
18	19	1402.13	3.8229
15	15	1404.49	4.91094
13	12	1406.36	5.16162
9	7	1409.93	7.39825
7	4	1412.25	9.55293
5	1	1415.14	15.0441
60	87	1436.51	3.09891
20	22	1449.65	3.33808
18	19	1451.18	3.8229
15	15	1453.55	4.91094
13	12	1455.42	5.16162
9	7	1458.99	7.39825
7	4	1461.31	9.55293
5	1	1464.19	15.0441
