102	74
37	26
33	23
29	20
25	17
21	14
17	11
13	8
9	5
5	3
3	3
79	57
83	60
87	63
91	66
95	69
99	72
102	74
17	11
13	8
9	5
5	3
102	74
75	54
25	17
21	14
17	11
13	8
9	5
5	3
3	3
83	60
87	63
91	66
95	69
99	72
102	74
17	11
13	8
9	5
5	3
3	3
4	78
17	11
13	8
9	5
5	3
3	3
4	78
83	60
87	63
91	66
95	69
99	72
102	74
13	8
9	5
5	3
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
79	57
83	60
87	63
91	66
95	69
99	72
102	74
13	8
9	5
5	3
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
13	8
9	5
5	3
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
79	57
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
79	57
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
79	57
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
83	60
87	63
91	66
95	69
99	72
102	74
4	78
5	3
79	57
83	60
87	63
91	66
95	69
99	72
102	74
4	78
9	5
5	3
87	63
91	66
95	69
99	72
102	74
