60	86	14.8779	2521.97
3	2	39.7024	3917
60	86	61.9391	2394.06
3	2	89.6132	3725.28
60	86	110.93	2389.49
3	2	138.66	3722.61
60	86	159.975	2388.58
3	2	187.712	3722.16
60	86	209.031	2388.6
3	2	236.766	3722.01
60	86	258.086	2388.6
3	2	285.822	3721.96
60	86	307.142	2388.6
3	2	334.877	3721.94
60	86	356.197	2388.6
3	2	383.932	3721.93
60	86	405.253	2388.6
3	2	432.988	3721.93
60	86	454.308	2388.6
3	2	482.043	3721.93
60	86	503.364	2388.6
3	2	531.099	3721.93
60	86	552.419	2388.6
3	2	580.154	3721.93
60	86	601.475	2388.6
3	2	629.21	3721.93
60	86	650.53	2388.6
3	2	678.265	3721.93
60	86	699.586	2388.6
3	2	727.321	3721.93
60	86	748.641	2388.6
3	2	776.376	3721.93
60	86	797.697	2388.6
3	2	825.432	3721.93
60	86	846.753	2388.6
3	2	874.488	3721.93
60	86	895.808	2388.6
3	2	923.543	3721.93
60	86	944.864	2388.6
3	2	972.599	3721.93
60	86	993.919	2388.6
3	2	1021.65	3721.93
60	86	1042.97	2388.6
3	2	1070.71	3721.93
60	86	1092.03	2388.6
3	2	1119.77	3721.93
60	86	1141.09	2388.6
3	2	1168.82	3721.93
60	86	1190.14	2388.6
3	2	1217.88	3721.93
60	86	1239.2	2388.6
3	2	1266.93	3721.93
60	86	1288.25	2388.6
