0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	899.53	901.71	903.05	903.59	903.67	903.57	903.46	903.45	903.57	903.84	904.21	904.60	904.83	904.60	903.52	901.66	0.00	0.00	
0.00	0.00	899.32	1510.31	1518.84	1521.37	1521.82	1521.53	1521.07	1520.72	1520.61	1520.82	1521.34	1522.13	1523.09	1523.97	1524.26	1522.71	907.91	0.00	0.00	
0.00	0.00	901.29	1517.63	1518.22	1517.88	1517.01	1516.03	1515.18	1514.61	1514.41	1514.61	1515.23	1516.25	1517.63	1519.28	1521.02	1522.77	914.45	0.00	0.00	
0.00	0.00	902.36	911.57	1520.81	1517.42	1514.88	1512.95	1511.55	1510.67	1510.32	1510.52	1511.26	1512.59	1514.54	1517.18	1520.52	1524.06	917.64	0.00	0.00	
0.00	0.00	0.00	910.38	914.17	1518.66	1514.64	1511.73	1509.71	1508.47	1507.95	1508.12	1509.01	1510.68	1513.26	1517.03	1522.57	913.42	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	916.19	1520.77	1515.78	1511.92	1509.25	1507.61	1506.89	1507.04	1508.08	1510.07	1513.21	1517.75	1523.71	915.46	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	912.98	914.79	1518.28	1513.23	1509.87	1507.80	1506.86	1506.99	1508.18	1510.50	1514.15	1519.75	914.36	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	915.79	1519.81	1515.26	1511.36	1508.84	1507.67	1507.80	1509.19	1511.82	1515.63	911.40	915.05	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	911.87	912.95	1519.14	1513.80	1510.62	1509.19	1509.36	1511.09	1514.31	1518.21	914.38	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	908.40	1521.98	1516.56	1512.95	1511.27	1511.52	1513.83	1518.63	910.73	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	906.59	912.95	1520.16	1515.84	1513.78	1514.04	1516.67	1521.35	913.43	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	911.08	914.36	1519.18	1516.57	1516.84	1520.23	913.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	916.82	1522.47	1519.29	1519.35	912.18	915.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	914.06	916.46	1521.62	1521.59	914.53	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
