0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	163.50	165.14	167.30	169.61	171.97	174.31	176.61	178.87	181.08	183.23	185.32	187.35	189.32	191.22	193.07	194.84	196.55	198.20	199.77	201.28	202.73	204.11	205.42	206.66	207.84	208.95	210.00	210.99	211.91	212.77	213.57	214.30	214.98	215.60	216.17	216.67	217.13	217.52	217.87	218.16	218.41	218.60	218.75	218.84	218.90	218.90	218.86	218.78	218.66	218.49	218.28	218.03	217.75	217.42	217.06	216.66	216.22	215.75	215.24	214.70	214.13	213.53	212.90	212.24	211.56	210.86	210.14	209.40	208.66	207.91	207.16	206.42	205.70	205.00	204.34	203.75	203.24	202.90	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	308.22	315.96	486.68	493.86	501.08	508.33	515.52	522.61	529.56	536.36	542.98	549.44	555.71	561.80	567.70	573.42	578.94	584.26	589.39	594.32	599.05	603.58	607.91	612.04	615.97	619.70	623.23	626.57	629.71	632.66	635.42	638.00	640.39	642.60	644.63	646.49	648.18	649.69	651.05	652.24	653.27	654.15	654.88	655.46	655.89	656.18	656.33	656.34	656.23	655.98	655.60	655.10	654.47	653.73	652.87	651.89	650.80	649.60	648.29	646.86	645.34	643.71	642.00	640.19	638.29	636.32	634.27	632.16	630.00	627.79	625.55	623.29	621.03	618.78	616.58	614.46	612.43	610.56	608.89	607.48	403.71	402.96	0.00	0.00	0.00	
0.00	0.00	310.21	478.67	486.89	494.55	502.00	509.32	516.53	523.60	530.53	537.29	543.88	550.30	556.54	562.60	568.47	574.15	579.64	584.94	590.04	594.94	599.65	604.16	608.46	612.57	616.48	620.20	623.71	627.04	630.17	633.10	635.85	638.42	640.80	643.00	645.03	646.88	648.56	650.07	651.42	652.60	653.63	654.51	655.23	655.81	656.24	656.53	656.68	656.70	656.58	656.33	655.95	655.45	654.83	654.09	653.24	652.27	651.18	649.99	648.68	647.27	645.75	644.14	642.43	640.64	638.76	636.80	634.77	632.68	630.53	628.35	626.13	623.89	621.66	619.44	617.27	615.16	613.15	611.28	609.58	608.10	606.88	403.36	0.00	0.00	0.00	
0.00	0.00	313.34	481.23	488.67	496.21	503.65	510.97	518.14	525.16	532.03	538.73	545.27	551.63	557.81	563.81	569.63	575.26	580.70	585.95	591.01	595.87	600.54	605.01	609.28	613.36	617.24	620.93	624.42	627.71	630.82	633.74	636.47	639.02	641.38	643.57	645.58	647.42	649.09	650.59	651.93	653.11	654.13	655.00	655.72	656.29	656.72	657.01	657.16	657.17	657.06	656.81	656.44	655.94	655.32	654.59	653.74	652.78	651.70	650.52	649.22	647.82	646.32	644.72	643.03	641.25	639.40	637.46	635.46	633.40	631.28	629.13	626.95	624.75	622.55	620.38	618.24	616.17	614.19	612.33	610.63	609.13	607.89	404.13	0.00	0.00	0.00	
0.00	0.00	315.67	483.57	490.92	498.37	505.74	512.98	520.08	527.02	533.81	540.43	546.89	553.17	559.28	565.21	570.96	576.53	581.91	587.10	592.10	596.91	601.53	605.95	610.19	614.22	618.06	621.71	625.17	628.44	631.52	634.41	637.11	639.64	641.98	644.15	646.14	647.96	649.62	651.11	652.44	653.60	654.62	655.48	656.19	656.76	657.18	657.47	657.61	657.63	657.51	657.27	656.89	656.40	655.79	655.06	654.22	653.27	652.20	651.02	649.74	648.36	646.87	645.29	643.62	641.87	640.03	638.13	636.16	634.13	632.05	629.93	627.79	625.63	623.48	621.35	619.26	617.23	615.28	613.44	611.74	610.21	608.91	404.83	0.00	0.00	0.00	
0.00	0.00	318.35	485.91	493.63	500.99	508.23	515.35	522.33	529.17	535.85	542.38	548.73	554.92	560.94	566.79	572.46	577.95	583.25	588.38	593.31	598.06	602.62	606.99	611.17	615.16	618.95	622.56	625.98	629.21	632.25	635.11	637.78	640.28	642.60	644.74	646.71	648.52	650.15	651.62	652.94	654.09	655.10	655.95	656.65	657.21	657.63	657.91	658.05	658.06	657.94	657.70	657.33	656.84	656.23	655.51	654.67	653.73	652.68	651.51	650.24	648.87	647.41	645.85	644.20	642.48	640.67	638.80	636.86	634.86	632.83	630.75	628.66	626.55	624.45	622.37	620.32	618.34	616.44	614.63	612.94	611.37	609.85	405.38	0.00	0.00	0.00	
0.00	0.00	160.96	325.76	497.24	504.09	511.10	518.05	524.89	531.59	538.15	544.55	550.79	556.88	562.79	568.54	574.11	579.51	584.74	589.78	594.64	599.32	603.81	608.11	612.23	616.16	619.91	623.46	626.83	630.02	633.02	635.84	638.48	640.95	643.23	645.35	647.30	649.07	650.69	652.14	653.44	654.58	655.56	656.40	657.10	657.65	658.06	658.33	658.47	658.48	658.36	658.11	657.74	657.26	656.65	655.94	655.11	654.17	653.13	651.98	650.73	649.38	647.93	646.40	644.78	643.08	641.30	639.46	637.56	635.61	633.62	631.59	629.55	627.49	625.45	623.42	621.44	619.51	617.66	615.90	614.25	612.74	407.14	203.22	0.00	0.00	0.00	
0.00	0.00	0.00	328.69	500.22	507.42	514.29	521.06	527.72	534.27	540.67	546.94	553.05	559.01	564.81	570.45	575.92	581.22	586.35	591.30	596.07	600.67	605.09	609.32	613.37	617.24	620.92	624.42	627.74	630.87	633.83	636.61	639.21	641.63	643.89	645.97	647.89	649.64	651.23	652.66	653.93	655.05	656.02	656.85	657.53	658.07	658.47	658.73	658.87	658.87	658.75	658.50	658.13	657.65	657.05	656.34	655.52	654.60	653.57	652.43	651.20	649.87	648.45	646.93	645.34	643.67	641.94	640.13	638.27	636.37	634.42	632.45	630.46	628.47	626.48	624.52	622.60	620.73	618.94	617.24	615.62	613.98	407.82	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	336.79	511.64	517.83	524.33	530.80	537.17	543.42	549.53	555.50	561.32	566.99	572.51	577.86	583.05	588.07	592.93	597.61	602.12	606.45	610.60	614.58	618.37	621.99	625.43	628.69	631.77	634.67	637.40	639.96	642.34	644.56	646.60	648.49	650.21	651.77	653.17	654.42	655.52	656.48	657.28	657.95	658.47	658.86	659.12	659.25	659.25	659.12	658.87	658.51	658.02	657.43	656.73	655.92	655.01	653.99	652.87	651.65	650.34	648.95	647.46	645.90	644.27	642.56	640.80	638.99	637.13	635.24	633.33	631.40	629.47	627.55	625.65	623.80	622.00	620.28	618.66	617.22	410.32	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	339.47	514.72	521.32	527.81	534.11	540.29	546.35	552.30	558.11	563.78	569.32	574.70	579.93	585.00	589.91	594.65	599.23	603.64	607.89	611.95	615.85	619.57	623.11	626.48	629.68	632.70	635.55	638.22	640.73	643.07	645.24	647.25	649.09	650.78	652.31	653.69	654.91	655.99	656.92	657.71	658.36	658.87	659.25	659.49	659.61	659.60	659.47	659.22	658.86	658.38	657.79	657.09	656.29	655.39	654.39	653.29	652.09	650.81	649.43	647.98	646.45	644.85	643.19	641.47	639.71	637.91	636.07	634.22	632.35	630.49	628.64	626.82	625.03	623.30	621.65	620.08	618.51	410.98	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	345.93	525.36	531.63	537.66	543.60	549.46	555.23	560.87	566.39	571.77	577.01	582.11	587.05	591.84	596.47	600.94	605.25	609.39	613.37	617.18	620.81	624.28	627.58	630.70	633.66	636.45	639.07	641.52	643.81	645.94	647.90	649.71	651.36	652.85	654.20	655.40	656.45	657.36	658.12	658.75	659.25	659.61	659.85	659.96	659.94	659.81	659.56	659.19	658.71	658.13	657.44	656.65	655.76	654.78	653.69	652.52	651.25	649.91	648.49	646.99	645.43	643.81	642.14	640.43	638.68	636.91	635.12	633.32	631.53	629.76	628.01	626.30	624.64	623.05	621.62	413.30	0.00	0.00	0.00	0.00	0.00	0.00	
