0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	552.74	553.37	555.03	556.57	558.06	559.52	560.98	562.42	563.84	565.26	566.65	568.03	569.38	570.70	572.00	573.26	574.49	575.68	576.84	577.96	579.04	580.07	581.07	582.02	582.92	583.77	584.58	585.34	586.05	586.71	587.31	587.87	588.37	588.81	589.20	589.53	589.80	590.02	590.17	590.27	590.30	590.26	590.16	590.00	589.77	589.47	589.09	588.65	588.13	587.54	586.87	586.12	585.30	584.39	583.41	582.33	581.18	579.94	578.61	577.19	575.68	574.08	572.39	570.61	568.73	566.76	564.69	562.53	560.27	557.91	555.44	552.85	550.14	547.32	544.38	541.33	538.16	534.88	531.48	527.98	524.36	520.64	516.81	512.87	508.84	504.70	500.46	496.13	491.71	487.20	482.61	477.95	473.21	468.42	463.58	458.72	453.85	449.01	444.25	439.67	435.44	431.93	430.10	0.00	0.00	0.00	
0.00	0.00	0.00	553.47	830.42	832.38	834.47	836.62	838.78	840.94	843.10	845.24	847.36	849.45	851.52	853.54	855.53	857.48	859.37	861.22	863.02	864.75	866.43	868.05	869.61	871.10	872.52	873.88	875.16	876.37	877.51	878.58	879.57	880.48	881.31	882.06	882.73	883.31	883.81	884.22	884.55	884.78	884.92	884.97	884.92	884.77	884.53	884.18	883.73	883.17	882.51	881.73	880.84	879.84	878.72	877.49	876.13	874.65	873.04	871.31	869.45	867.46	865.33	863.07	860.67	858.14	855.46	852.65	849.69	846.59	843.34	839.96	836.42	832.71	828.83	824.77	820.54	816.13	811.55	806.79	801.87	796.78	791.52	786.09	780.51	774.76	768.86	762.80	756.59	750.23	743.73	737.10	730.33	723.44	716.43	709.32	702.11	694.84	687.51	680.16	672.83	665.57	658.48	651.71	645.41	642.40	0.00	0.00	0.00	
0.00	0.00	0.00	553.73	831.52	833.48	835.56	837.68	839.81	841.96	844.10	846.22	848.32	850.40	852.45	854.47	856.45	858.38	860.27	862.11	863.90	865.63	867.30	868.91	870.46	871.95	873.37	874.72	876.00	877.21	878.35	879.41	880.40	881.31	882.14	882.89	883.56	884.14	884.64	885.05	885.38	885.61	885.75	885.80	885.75	885.61	885.36	885.02	884.57	884.02	883.35	882.58	881.70	880.70	879.59	878.36	877.00	875.53	873.93	872.20	870.35	868.36	866.24	863.99	861.60	859.07	856.41	853.60	850.66	847.57	844.34	840.97	837.45	833.75	829.89	825.84	821.63	817.24	812.67	807.94	803.04	797.97	792.73	787.33	781.77	776.05	770.17	764.14	757.96	751.63	745.16	738.55	731.82	724.96	717.98	710.91	703.74	696.50	689.21	681.90	674.60	667.35	660.24	653.44	647.05	642.82	0.00	0.00	0.00	
0.00	0.00	0.00	553.97	832.37	834.46	836.55	838.66	840.78	842.91	845.03	847.13	849.22	851.28	853.32	855.32	857.29	859.21	861.09	862.92	864.70	866.42	868.09	869.70	871.24	872.73	874.14	875.49	876.77	877.98	879.11	880.17	881.16	882.07	882.90	883.65	884.31	884.90	885.40	885.81	886.14	886.37	886.52	886.57	886.52	886.38	886.14	885.80	885.35	884.80	884.14	883.38	882.50	881.50	880.40	879.17	877.82	876.36	874.76	873.05	871.20	869.22	867.12	864.87	862.50	859.98	857.33	854.54	851.61	848.53	845.32	841.96	838.46	834.79	830.94	826.92	822.72	818.36	813.82	809.11	804.23	799.19	793.98	788.61	783.07	777.38	771.53	765.54	759.39	753.10	746.66	740.09	733.39	726.57	719.63	712.59	705.46	698.27	691.02	683.76	676.48	669.22	662.02	655.23	649.17	431.18	0.00	0.00	0.00	
0.00	0.00	0.00	554.62	833.16	835.39	837.50	839.59	841.69	843.80	845.90	847.98	850.05	852.10	854.12	856.11	858.06	859.97	861.84	863.66	865.43	867.15	868.81	870.41	871.95	873.42	874.84	876.18	877.46	878.66	879.80	880.86	881.84	882.75	883.58	884.33	885.00	885.59	886.09	886.50	886.83	887.07	887.21	887.27	887.23	887.09	886.85	886.51	886.07	885.53	884.87	884.11	883.24	882.26	881.15	879.94	878.60	877.14	875.56	873.85	872.01	870.05	867.95	865.72	863.36	860.86	858.23	855.45	852.54	849.48	846.29	842.95	839.47	835.82	832.00	828.00	823.83	819.49	814.98	810.30	805.45	800.43	795.26	789.92	784.42	778.76	772.95	766.99	760.88	754.63	748.24	741.71	735.05	728.27	721.38	714.37	707.28	700.12	692.93	685.73	678.52	671.23	663.70	656.82	434.33	431.48	0.00	0.00	0.00	
0.00	0.00	0.00	555.04	556.44	836.45	838.41	840.47	842.55	844.63	846.71	848.78	850.83	852.85	854.86	856.83	858.77	860.66	862.52	864.33	866.09	867.80	869.45	871.05	872.58	874.05	875.46	876.80	878.08	879.28	880.41	881.47	882.46	883.37	884.20	884.95	885.62	886.20	886.71	887.13	887.46	887.70	887.85	887.90	887.87	887.73	887.50	887.17	886.74	886.20	885.55	884.80	883.93	882.96	881.87	880.66	879.33	877.88	876.31	874.62	872.79	870.84	868.76	866.55	864.20	861.72	859.10	856.34	853.45	850.41	847.24	843.93	840.47	836.85	833.05	829.08	824.94	820.63	816.15	811.50	806.69	801.71	796.57	791.26	785.80	780.19	774.41	768.50	762.43	756.22	749.88	743.40	736.79	730.06	723.21	716.24	709.19	702.06	694.90	687.83	680.80	673.73	444.75	439.10	436.71	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	556.95	837.09	839.20	841.28	843.35	845.41	847.47	849.51	851.54	853.55	855.53	857.49	859.41	861.29	863.14	864.93	866.68	868.38	870.03	871.62	873.15	874.61	876.02	877.36	878.63	879.83	880.96	882.02	883.01	883.91	884.75	885.50	886.17	886.76	887.27	887.69	888.02	888.27	888.42	888.48	888.45	888.32	888.10	887.77	887.35	886.81	886.18	885.43	884.58	883.61	882.53	881.33	880.02	878.58	877.02	875.34	873.54	871.60	869.53	867.34	865.01	862.55	859.95	857.21	854.34	851.33	848.19	844.90	841.47	837.87	834.11	830.17	826.06	821.78	817.34	812.73	807.95	803.01	797.91	792.64	787.22	781.65	775.92	770.05	764.03	757.88	751.58	745.16	738.61	731.93	725.12	718.20	711.18	704.06	696.86	689.99	683.29	451.30	447.21	0.00	0.00	0.00	0.00	0.00	0.00	
