0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 1054.63 1495.43 1518.85 1548.81 1582.12 1616.86 1652.05 1687.11 1721.68 1755.55 1788.58 1820.68 1851.79 1881.88 1910.92 1938.91 1965.84 1991.72 2016.55 2040.36 2063.15 2084.94 2105.75 2125.60 2144.51 2162.51 2179.63 2195.87 2211.28 2225.87 2239.67 2252.71 2265.01 2276.60 2287.50 2297.75 2307.35 2316.35 2324.77 2332.62 2339.94 2346.74 2353.06 2358.90 2364.31 2369.29 2373.86 2378.05 2381.88 2385.37 2388.52 2391.37 2393.92 2396.20 2398.21 2399.97 2401.49 2402.79 2403.87 2404.75 2405.44 2405.93 2406.25 2406.39 2406.36 2406.17 2405.81 2405.30 2404.62 2403.78 2402.79 2401.63 2400.30 2398.81 2397.14 2395.29 2393.25 2391.03 2388.62 2386.01 2383.22 2380.26 2377.19 2374.12 2371.34 2369.28 1691.23 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 1414.98 1844.76 2302.71 2348.26 2395.87 2446.43 2499.23 2553.29 2607.74 2661.95 2715.47 2767.99 2819.30 2869.23 2917.69 2964.61 3009.94 3053.67 3095.78 3136.27 3175.15 3212.44 3248.15 3282.32 3314.96 3346.11 3375.79 3404.06 3430.93 3456.46 3480.67 3503.61 3525.31 3545.82 3565.17 3583.41 3600.57 3616.70 3631.83 3646.01 3659.27 3671.65 3683.19 3693.93 3703.90 3713.13 3721.66 3729.53 3736.76 3743.39 3749.45 3754.96 3759.96 3764.47 3768.52 3772.12 3775.31 3778.11 3780.53 3782.59 3784.32 3785.72 3786.81 3787.60 3788.10 3788.33 3788.29 3787.99 3787.43 3786.61 3785.54 3784.22 3782.64 3780.80 3778.70 3776.32 3773.68 3770.75 3767.52 3764.00 3760.17 3756.03 3751.59 3746.86 3741.86 3736.66 3731.28 3725.72 3719.80 3038.46 2360.99 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 585.44 1779.90 2217.58 2675.65 2730.29 2788.06 3287.73 3354.86 3425.35 3497.62 3570.55 3643.29 3715.25 3785.99 3855.20 3922.66 3988.21 4051.74 4113.19 4172.51 4229.67 4284.67 4337.51 4388.21 4436.78 4483.27 4527.70 4570.12 4610.56 4649.07 4685.70 4720.50 4753.51 4784.80 4814.41 4842.40 4868.82 4893.72 4917.16 4939.20 4959.88 4979.26 4997.39 5014.32 5030.11 5044.80 5058.44 5071.09 5082.78 5093.56 5103.47 5112.56 5120.87 5128.44 5135.30 5141.50 5147.06 5152.01 5156.40 5160.25 5163.58 5166.42 5168.80 5170.73 5172.23 5173.33 5174.03 5174.35 5174.30 5173.89 5173.12 5172.00 5170.54 5168.72 5166.55 5164.02 5161.13 5157.87 5154.23 5150.20 5145.77 5140.93 5135.66 5129.98 5123.86 5117.33 5110.40 5103.12 5095.55 4409.56 4401.66 4393.62 3710.69 3030.83 1009.45 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 576.01 1747.29 2179.20 2632.01 3101.01 3164.19 3232.20 3743.18 3819.55 3898.90 3979.92 4061.56 4143.00 4223.62 4302.95 4380.64 4456.45 4530.19 4601.72 4670.96 4737.85 4802.35 4864.44 4924.13 4981.43 5036.35 5088.93 5139.20 5187.20 5232.98 5276.59 5318.08 5357.51 5394.93 5430.40 5463.97 5495.71 5525.68 5553.94 5580.55 5605.56 5629.04 5651.06 5671.66 5690.90 5708.85 5725.55 5741.07 5755.45 5768.75 5781.03 5792.32 5802.67 5812.14 5820.77 5828.60 5835.67 5842.01 5847.67 5852.69 5857.08 5860.89 5864.14 5866.86 5869.07 5870.80 5872.06 5872.87 5873.24 5873.19 5872.72 5871.85 5870.57 5868.90 5866.82 5864.34 5861.46 5858.16 5854.43 5850.28 5845.67 5840.61 5835.08 5829.07 5822.56 5815.55 5808.04 5800.04 5791.55 5782.60 5094.84 5085.22 5075.38 4390.04 3706.63 3026.47 1008.08 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 1717.27 2138.83 2584.92 3048.38 3526.83 3599.21 3676.25 3757.27 3836.81 3916.88 3997.57 4078.43 4158.94 4238.61 4317.05 4393.93 4469.01 4542.12 4613.11 4681.89 4748.38 4812.54 4874.35 4933.81 4990.91 5045.67 5098.11 5148.28 5196.20 5241.92 5285.49 5326.96 5366.37 5403.78 5439.26 5472.85 5504.62 5534.62 5562.91 5589.56 5614.63 5638.16 5660.23 5680.89 5700.19 5718.20 5734.97 5750.55 5765.00 5778.36 5790.70 5802.05 5812.47 5822.00 5830.69 5838.57 5845.69 5852.09 5857.80 5862.86 5867.30 5871.14 5874.43 5877.18 5879.42 5881.17 5882.45 5883.27 5883.65 5883.60 5883.14 5882.26 5880.98 5879.29 5877.20 5874.70 5871.79 5868.46 5864.70 5860.50 5855.86 5850.75 5845.16 5839.08 5832.49 5825.38 5817.71 5809.48 5800.61 5790.98 5780.25 5769.16 5757.68 5070.35 4384.49 3701.05 3021.93 0.00 0.00 0.00 
0.00 0.00 0.00 1311.18 2097.41 2534.23 2990.85 3463.42 3537.93 4035.81 4119.52 4207.05 4295.95 4385.76 4476.03 4566.28 4655.98 4744.68 4831.97 4917.54 5001.13 5082.53 5161.61 5238.24 5312.35 5383.88 5452.82 5519.14 5582.85 5643.97 5702.52 5758.53 5812.05 5863.11 5911.78 5958.11 6002.15 6043.96 6083.61 6121.16 6156.68 6190.22 6221.87 6251.67 6279.71 6306.04 6330.73 6353.84 6375.45 6395.61 6414.38 6431.82 6448.00 6462.97 6476.79 6489.51 6501.19 6511.87 6521.60 6530.44 6538.43 6545.60 6552.01 6557.68 6562.66 6566.98 6570.67 6573.76 6576.28 6578.24 6579.68 6580.61 6581.04 6580.99 6580.47 6579.49 6578.05 6576.16 6573.81 6571.01 6567.74 6564.01 6559.79 6555.08 6549.87 6544.13 6537.86 6531.02 6523.61 6515.59 6506.94 6497.63 6487.61 6476.82 6465.25 6453.08 5764.00 5750.82 5062.97 4377.03 3694.14 2346.26 0.00 0.00 
0.00 0.00 0.00 1682.33 2483.78 2930.36 3396.08 3471.21 3962.45 4047.11 4133.82 4221.99 4311.00 4400.56 4490.35 4579.96 4668.96 4756.95 4843.56 4928.49 5011.51 5092.41 5171.04 5247.29 5321.07 5392.33 5461.03 5527.15 5590.70 5651.68 5710.11 5766.04 5819.48 5870.50 5919.13 5965.43 6009.45 6051.26 6090.92 6128.48 6164.01 6197.59 6229.26 6259.10 6287.18 6313.55 6338.28 6361.45 6383.10 6403.31 6422.13 6439.63 6455.86 6470.88 6484.75 6497.52 6509.25 6519.98 6529.76 6538.65 6546.68 6553.89 6560.34 6566.05 6571.07 6575.42 6579.14 6582.25 6584.79 6586.77 6588.23 6589.16 6589.60 6589.56 6589.04 6588.06 6586.61 6584.71 6582.35 6579.53 6576.24 6572.48 6568.24 6563.50 6558.25 6552.47 6546.15 6539.26 6531.78 6523.67 6514.92 6505.46 6495.24 6484.17 6472.19 6459.32 6445.59 5755.88 5741.48 5053.52 4368.19 3016.00 0.00 0.00 
0.00 0.00 919.26 2055.72 2484.88 2934.55 3401.92 3885.64 3970.10 4057.51 4576.32 4670.12 4766.79 4865.16 4964.24 5063.29 5161.69 5258.97 5354.70 5448.56 5540.29 5629.67 5716.54 5800.77 5882.28 5961.01 6036.90 6109.96 6180.17 6247.55 6312.12 6373.91 6432.97 6489.35 6543.09 6594.26 6642.92 6689.12 6732.95 6774.47 6813.75 6850.85 6885.86 6918.85 6949.88 6979.04 7006.38 7031.99 7055.92 7078.26 7099.07 7118.42 7136.36 7152.97 7168.31 7182.43 7195.40 7207.26 7218.08 7227.90 7236.78 7244.76 7251.89 7258.21 7263.76 7268.57 7272.68 7276.13 7278.94 7281.13 7282.74 7283.78 7284.27 7284.22 7283.64 7282.56 7280.96 7278.86 7276.25 7273.13 7269.49 7265.34 7260.64 7255.40 7249.60 7243.21 7236.22 7228.60 7220.32 7211.36 7201.70 7191.29 7180.13 7168.22 7155.53 6464.62 6450.31 6435.34 5745.18 5056.48 4369.97 3686.91 1672.75 0.00 
