0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.30	0.85	0.99	0.98	0.93	0.88	0.84	0.80	0.77	0.74	0.71	0.69	0.66	0.64	0.62	0.60	0.59	0.57	0.55	0.54	0.52	0.51	0.50	0.49	0.47	0.46	0.45	0.44	0.43	0.42	0.42	0.41	0.40	0.39	0.39	0.38	0.38	0.38	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.37	0.38	0.38	0.39	0.39	0.40	0.41	0.41	0.42	0.43	0.44	0.45	0.45	0.46	0.48	0.49	0.50	0.51	0.52	0.54	0.55	0.56	0.58	0.59	0.61	0.63	0.65	0.67	0.69	0.71	0.74	0.77	0.80	0.84	0.88	0.93	0.93	0.80	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.70	1.48	1.40	0.94	0.80	0.74	0.70	0.66	0.63	0.60	0.58	0.56	0.54	0.52	0.50	0.48	0.47	0.45	0.44	0.43	0.42	0.41	0.39	0.38	0.37	0.37	0.36	0.35	0.34	0.33	0.33	0.32	0.31	0.31	0.30	0.30	0.29	0.29	0.29	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.28	0.29	0.29	0.29	0.30	0.30	0.31	0.31	0.32	0.32	0.33	0.34	0.34	0.35	0.36	0.37	0.37	0.38	0.39	0.40	0.41	0.42	0.44	0.45	0.46	0.47	0.49	0.50	0.52	0.54	0.56	0.58	0.60	0.63	0.66	0.70	0.75	0.88	1.31	1.40	0.66	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.05	1.58	1.47	0.90	0.72	0.62	0.54	0.51	0.49	0.46	0.44	0.42	0.40	0.39	0.37	0.36	0.35	0.34	0.33	0.32	0.31	0.30	0.29	0.28	0.28	0.27	0.26	0.26	0.25	0.24	0.24	0.23	0.23	0.22	0.22	0.22	0.21	0.21	0.21	0.20	0.20	0.20	0.20	0.20	0.19	0.19	0.19	0.19	0.19	0.19	0.20	0.20	0.20	0.20	0.20	0.20	0.21	0.21	0.21	0.22	0.22	0.23	0.23	0.23	0.24	0.25	0.25	0.26	0.26	0.27	0.28	0.28	0.29	0.30	0.30	0.31	0.32	0.33	0.34	0.35	0.36	0.38	0.39	0.40	0.42	0.44	0.46	0.49	0.52	0.58	0.67	0.84	1.38	1.47	0.06	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.05	1.95	1.16	0.75	0.65	0.57	0.52	0.44	0.42	0.40	0.38	0.36	0.34	0.33	0.32	0.31	0.29	0.29	0.28	0.27	0.26	0.25	0.24	0.24	0.23	0.23	0.22	0.21	0.21	0.20	0.20	0.19	0.19	0.19	0.18	0.18	0.18	0.17	0.17	0.17	0.17	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.17	0.18	0.18	0.18	0.19	0.19	0.20	0.20	0.20	0.21	0.21	0.22	0.22	0.23	0.24	0.24	0.25	0.26	0.26	0.27	0.28	0.29	0.30	0.31	0.32	0.33	0.34	0.36	0.38	0.40	0.42	0.49	0.53	0.62	0.78	1.16	1.82	0.06	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	1.89	1.27	0.74	0.59	0.57	0.49	0.46	0.41	0.38	0.36	0.35	0.33	0.31	0.30	0.29	0.28	0.27	0.26	0.25	0.24	0.24	0.23	0.22	0.22	0.21	0.21	0.20	0.20	0.19	0.19	0.18	0.18	0.17	0.17	0.17	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.14	0.14	0.14	0.14	0.14	0.14	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.17	0.17	0.17	0.18	0.18	0.18	0.19	0.19	0.20	0.20	0.21	0.21	0.22	0.22	0.23	0.23	0.24	0.25	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.33	0.35	0.36	0.39	0.43	0.46	0.53	0.63	0.81	1.26	1.74	0.00	0.00	0.00	
0.00	0.00	0.00	1.04	1.91	0.89	0.64	0.57	0.52	0.44	0.41	0.38	0.36	0.34	0.33	0.31	0.30	0.28	0.27	0.26	0.25	0.25	0.24	0.23	0.22	0.22	0.21	0.21	0.20	0.19	0.19	0.18	0.18	0.18	0.17	0.17	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.14	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.17	0.17	0.18	0.18	0.18	0.19	0.19	0.20	0.20	0.21	0.21	0.22	0.23	0.23	0.24	0.25	0.26	0.26	0.27	0.28	0.30	0.31	0.33	0.34	0.36	0.38	0.42	0.48	0.55	0.68	0.91	1.78	0.95	0.00	0.00	
0.00	0.00	0.00	2.32	1.25	0.82	0.66	0.55	0.44	0.43	0.39	0.36	0.34	0.32	0.30	0.29	0.28	0.26	0.25	0.24	0.24	0.23	0.22	0.21	0.21	0.20	0.20	0.19	0.19	0.18	0.18	0.17	0.17	0.16	0.16	0.16	0.15	0.15	0.15	0.14	0.14	0.14	0.14	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.13	0.14	0.14	0.14	0.14	0.14	0.15	0.15	0.15	0.16	0.16	0.16	0.17	0.17	0.18	0.18	0.18	0.19	0.19	0.20	0.20	0.21	0.22	0.22	0.23	0.24	0.25	0.25	0.26	0.28	0.29	0.30	0.32	0.34	0.36	0.40	0.44	0.52	0.61	0.78	1.16	2.15	0.00	0.00	
0.00	0.00	0.59	2.36	1.07	0.76	0.61	0.51	0.46	0.41	0.35	0.34	0.32	0.31	0.29	0.28	0.27	0.25	0.25	0.24	0.23	0.22	0.21	0.21	0.20	0.19	0.19	0.18	0.18	0.17	0.17	0.17	0.16	0.16	0.15	0.15	0.15	0.14	0.14	0.14	0.14	0.13	0.13	0.13	0.13	0.13	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.12	0.13	0.13	0.13	0.13	0.13	0.13	0.14	0.14	0.14	0.14	0.15	0.15	0.15	0.16	0.16	0.17	0.17	0.17	0.18	0.18	0.19	0.19	0.20	0.20	0.21	0.22	0.22	0.23	0.24	0.25	0.26	0.27	0.28	0.29	0.31	0.32	0.34	0.38	0.43	0.48	0.56	0.71	0.98	2.16	0.55	0.00	
