0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 26.68 34.77 34.72 33.72 32.65 31.49 30.29 29.15 28.20 27.57 27.44 28.03 28.79 23.79 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 7.23 45.89 37.73 33.92 33.09 32.35 31.56 30.71 29.83 29.00 28.32 27.89 27.85 28.35 29.62 36.13 45.93 8.45 0.00 0.00 
0.00 0.00 0.00 39.09 38.29 33.76 31.78 31.49 31.00 30.48 29.93 29.36 28.83 28.41 28.17 28.22 28.67 29.45 32.26 38.82 50.16 0.00 0.00 
0.00 0.00 0.00 55.83 33.51 32.06 30.34 29.83 29.42 28.98 28.50 28.00 27.53 27.16 26.95 27.00 27.40 28.30 30.61 34.71 68.08 0.00 0.00 
0.00 0.00 0.00 49.32 31.08 31.51 29.87 29.42 29.05 28.63 28.17 27.69 27.25 26.89 26.69 26.74 27.12 27.97 30.00 32.59 59.59 0.00 0.00 
0.00 0.00 0.00 55.95 33.45 32.03 30.32 29.82 29.41 28.97 28.49 28.00 27.53 27.16 26.96 27.01 27.41 28.32 28.51 33.92 67.94 0.00 0.00 
0.00 0.00 0.00 41.75 38.14 33.82 31.72 31.46 30.99 30.47 29.92 29.36 28.83 28.41 28.19 28.24 28.70 29.49 32.28 38.04 49.99 0.00 0.00 
0.00 0.00 0.00 7.44 45.72 40.04 33.80 33.02 32.32 31.55 30.70 29.83 29.01 28.33 27.91 27.88 28.41 29.69 34.10 45.97 8.44 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 26.77 34.68 34.65 33.68 32.63 31.48 30.30 29.17 28.22 27.61 27.50 28.11 28.90 23.88 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
