D_nATP	left	225.26	224.68	225.13	229.92	240.30	255.57	274.60	296.34	319.97	344.84	370.43	396.34	422.24	447.87	473.04	497.58	521.37	544.31	566.33	587.38	
D_nATP	mid	284.63	667.76	826.47	942.32	1032.08	1103.21	1160.18	1205.97	1242.71	1272.00	1295.10	1313.01	1326.54	1336.39	1343.09	1347.13	1348.90	1348.71	1346.84	1343.53	
D_nATP	right	3446.39	3052.96	2881.84	2748.21	2634.07	2532.69	2440.74	2356.31	2278.09	2205.16	2136.78	2072.38	2011.47	1953.66	1898.61	1846.03	1795.68	1747.36	1700.89	1656.13	

D_nADP	left	0.00	0.00	0.00	0.01	0.02	0.04	0.06	0.10	0.16	0.23	0.32	0.44	0.58	0.76	0.96	1.20	1.47	1.79	2.14	2.54	
D_nADP	mid	0.00	0.00	0.02	0.08	0.18	0.33	0.55	0.84	1.20	1.63	2.15	2.75	3.43	4.20	5.07	6.02	7.06	8.20	9.43	10.75	
D_nADP	right	0.00	0.04	0.20	0.51	0.96	1.55	2.28	3.15	4.16	5.32	6.61	8.05	9.62	11.34	13.19	15.18	17.30	19.56	21.95	24.46	

E_nE	left	78.84	78.79	79.01	80.67	84.21	89.35	95.69	102.84	110.52	118.49	126.58	134.64	142.56	150.26	157.68	164.75	171.44	177.71	183.55	188.93	
E_nE	mid	99.62	233.78	288.65	327.89	357.52	380.23	397.68	410.96	420.85	427.94	432.71	435.50	436.63	436.34	434.83	432.29	428.85	424.63	419.75	414.29	
E_nE	right	1206.24	1065.99	1001.04	949.01	903.72	862.83	825.20	790.15	757.23	726.12	696.57	668.39	641.41	615.51	590.57	566.51	543.26	520.75	498.93	477.77	

D_ND	left	0.00	0.54	0.99	1.37	1.70	1.99	2.24	2.46	2.66	2.83	2.99	3.14	3.27	3.39	3.50	3.62	3.73	3.84	3.95	4.07	
D_ND	mid	0.00	0.97	1.80	2.43	2.92	3.30	3.62	3.89	4.14	4.38	4.61	4.85	5.09	5.34	5.61	5.88	6.17	6.47	6.79	7.12	
D_ND	right	0.01	3.20	3.83	4.32	4.81	5.33	5.89	6.47	7.10	7.75	8.44	9.17	9.94	10.76	11.61	12.51	13.46	14.45	15.50	16.60	

D_E_NDE	left	0.00	0.05	0.20	0.42	0.72	1.09	1.54	2.07	2.68	3.38	4.17	5.04	6.01	7.06	8.20	9.42	10.72	12.11	13.57	15.12	
D_E_NDE	mid	0.00	0.30	1.30	2.87	4.90	7.32	10.05	13.06	16.29	19.74	23.38	27.19	31.16	35.28	39.54	43.94	48.47	53.12	57.89	62.77	
D_E_NDE	right	0.00	5.78	14.50	23.84	33.63	43.87	54.54	65.63	77.13	89.03	101.31	113.95	126.94	140.25	153.88	167.79	181.97	196.38	211.01	225.82	

