0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.87 2.66 3.52 4.00 4.27 4.47 4.55 4.51 4.36 4.13 3.85 3.57 3.29 3.03 2.80 2.59 2.41 2.25 2.11 1.98 1.87 1.78 1.69 1.62 1.56 1.50 1.45 1.40 1.36 1.33 1.30 1.27 1.25 1.23 1.21 1.20 1.19 1.17 1.17 1.16 1.15 1.15 1.14 1.14 1.14 1.14 1.14 1.14 1.14 1.14 1.14 1.14 1.14 1.15 1.15 1.15 1.15 1.15 1.15 1.15 1.16 1.16 1.16 1.16 1.16 1.15 1.15 1.15 1.15 1.15 1.14 1.14 1.14 1.14 1.13 1.13 1.13 1.12 1.12 1.12 1.12 1.13 1.14 1.15 1.11 0.93 0.33 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 1.49 3.52 3.87 2.97 2.88 3.02 3.22 3.36 3.42 3.38 3.26 3.08 2.88 2.67 2.46 2.27 2.10 1.94 1.81 1.69 1.58 1.49 1.41 1.34 1.28 1.22 1.17 1.13 1.09 1.06 1.03 1.00 0.98 0.96 0.94 0.93 0.91 0.90 0.89 0.89 0.88 0.87 0.87 0.87 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.86 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.87 0.86 0.86 0.86 0.86 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.85 0.86 0.87 0.90 1.02 1.47 1.52 0.70 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.08 2.87 3.08 2.17 1.97 1.95 1.98 2.14 2.27 2.36 2.39 2.36 2.27 2.15 2.01 1.86 1.72 1.58 1.46 1.36 1.26 1.18 1.11 1.04 0.99 0.94 0.89 0.85 0.82 0.79 0.76 0.74 0.72 0.70 0.69 0.67 0.66 0.65 0.64 0.63 0.63 0.62 0.62 0.61 0.61 0.61 0.61 0.60 0.60 0.60 0.60 0.60 0.60 0.60 0.60 0.60 0.60 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.61 0.60 0.60 0.60 0.60 0.60 0.60 0.59 0.59 0.59 0.59 0.59 0.60 0.60 0.60 0.62 0.67 0.75 0.91 1.46 1.52 0.06 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.08 3.12 2.14 1.60 1.58 1.56 1.63 1.63 1.75 1.85 1.92 1.95 1.92 1.85 1.75 1.63 1.51 1.40 1.29 1.19 1.11 1.03 0.96 0.90 0.85 0.80 0.76 0.73 0.70 0.67 0.64 0.62 0.60 0.59 0.57 0.56 0.55 0.54 0.53 0.52 0.52 0.51 0.51 0.50 0.50 0.50 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.50 0.49 0.49 0.49 0.49 0.49 0.49 0.49 0.48 0.48 0.48 0.48 0.48 0.49 0.49 0.49 0.51 0.56 0.59 0.67 0.82 1.20 1.86 0.06 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 2.66 2.04 1.37 1.27 1.38 1.36 1.43 1.50 1.59 1.69 1.76 1.79 1.76 1.70 1.61 1.50 1.39 1.28 1.18 1.09 1.01 0.94 0.88 0.83 0.78 0.74 0.70 0.67 0.64 0.61 0.59 0.57 0.55 0.54 0.52 0.51 0.50 0.49 0.48 0.48 0.47 0.47 0.46 0.46 0.46 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.46 0.46 0.46 0.46 0.46 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.45 0.44 0.44 0.44 0.44 0.44 0.44 0.44 0.45 0.45 0.46 0.49 0.52 0.58 0.66 0.84 1.29 1.77 0.00 0.00 0.00 
0.00 0.00 0.00 1.27 2.68 1.43 1.19 1.22 1.24 1.22 1.28 1.38 1.48 1.58 1.65 1.68 1.66 1.61 1.52 1.42 1.31 1.21 1.12 1.03 0.96 0.89 0.83 0.78 0.73 0.69 0.66 0.63 0.60 0.58 0.55 0.54 0.52 0.51 0.49 0.48 0.47 0.46 0.46 0.45 0.44 0.44 0.44 0.43 0.43 0.43 0.43 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.43 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.42 0.43 0.43 0.44 0.47 0.52 0.58 0.70 0.93 1.81 0.98 0.00 0.00 
0.00 0.00 0.00 2.84 1.76 1.32 1.21 1.16 1.07 1.18 1.21 1.29 1.38 1.47 1.53 1.56 1.54 1.49 1.41 1.31 1.22 1.12 1.04 0.96 0.89 0.83 0.77 0.72 0.68 0.64 0.61 0.58 0.56 0.54 0.52 0.50 0.48 0.47 0.46 0.45 0.44 0.43 0.42 0.42 0.41 0.41 0.41 0.40 0.40 0.40 0.40 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.40 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.39 0.40 0.40 0.42 0.45 0.47 0.55 0.64 0.80 1.18 2.21 0.00 0.00 
0.00 0.00 0.64 2.88 1.49 1.23 1.12 1.07 1.10 1.11 1.12 1.23 1.33 1.42 1.48 1.50 1.49 1.44 1.36 1.27 1.18 1.08 1.00 0.92 0.86 0.80 0.74 0.70 0.66 0.62 0.59 0.56 0.54 0.52 0.50 0.48 0.47 0.45 0.44 0.43 0.42 0.42 0.41 0.40 0.40 0.39 0.39 0.39 0.39 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.38 0.37 0.37 0.37 0.37 0.37 0.38 0.38 0.38 0.38 0.39 0.43 0.46 0.50 0.58 0.72 1.00 2.23 0.57 0.00 
