0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	4.38	10.06	10.82	10.22	9.55	8.86	8.22	7.65	7.18	6.82	6.58	6.47	6.50	5.80	2.48	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.28	13.18	13.51	9.17	8.11	7.69	7.19	6.69	6.22	5.80	5.45	5.19	5.01	4.93	4.93	5.34	7.57	7.07	0.16	0.00	0.00	
0.00	0.00	0.00	13.45	10.76	7.46	6.65	5.96	5.63	5.27	4.90	4.55	4.24	3.99	3.79	3.66	3.60	3.61	3.85	4.17	5.83	7.02	0.00	0.00	
0.00	0.00	4.73	14.23	7.66	6.16	5.44	5.29	5.02	4.69	4.36	4.05	3.77	3.55	3.37	3.26	3.20	3.21	3.18	3.46	4.15	7.46	2.41	0.00	
0.00	0.00	11.16	9.99	7.10	5.61	5.16	4.84	4.57	4.27	3.96	3.67	3.42	3.21	3.05	2.94	2.89	2.91	2.98	3.17	3.81	5.25	5.64	0.00	
0.00	0.00	12.54	9.19	6.66	5.67	5.06	4.75	4.48	4.18	3.89	3.61	3.36	3.15	2.99	2.89	2.84	2.85	2.91	3.19	3.57	4.82	6.32	0.00	
0.00	0.00	11.16	10.01	7.10	5.61	5.16	4.84	4.57	4.27	3.96	3.67	3.42	3.21	3.05	2.94	2.89	2.91	2.98	3.17	3.65	5.25	5.65	0.00	
0.00	0.00	4.75	14.23	7.66	6.17	5.44	5.29	5.02	4.69	4.36	4.05	3.78	3.55	3.37	3.26	3.21	3.21	3.18	3.46	4.16	7.47	2.41	0.00	
0.00	0.00	0.00	13.45	10.76	7.46	6.65	5.96	5.63	5.27	4.90	4.55	4.24	3.99	3.79	3.66	3.60	3.61	3.69	4.18	5.68	7.04	0.00	0.00	
0.00	0.00	0.00	0.30	13.18	13.51	9.19	8.11	7.69	7.19	6.69	6.22	5.80	5.46	5.19	5.02	4.94	4.93	5.34	7.58	7.09	0.16	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	4.40	10.06	10.83	10.22	9.55	8.87	8.22	7.66	7.19	6.83	6.58	6.48	6.50	5.81	2.48	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
