0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 1354.46 1359.21 1367.41 1380.06 1397.68 1420.49 1448.59 1482.00 1520.68 1564.40 1612.45 1662.97 1711.22 1745.86 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 809.81 1354.00 1892.57 1896.11 1906.49 1923.79 1948.21 1979.89 2018.91 2065.28 2118.96 2179.67 2246.82 2319.16 2394.73 2472.21 1850.29 1133.58 0.00 0.00 
0.00 0.00 0.00 1354.14 1890.37 2426.01 2429.71 2442.56 2464.49 2495.61 2536.05 2585.85 2645.01 2713.42 2790.78 2876.43 2969.18 3067.33 3169.97 2582.66 1919.78 0.00 0.00 
0.00 0.00 0.00 1895.45 1886.37 2421.53 2423.88 2435.91 2457.37 2488.19 2528.34 2577.82 2636.61 2704.60 2781.58 2867.14 2960.69 3061.64 3169.91 2585.78 2684.17 0.00 0.00 
0.00 0.00 0.00 1894.54 1884.78 2420.13 2422.01 2433.71 2454.97 2485.65 2525.67 2575.03 2633.67 2701.49 2778.31 2863.81 2957.54 3059.12 3168.40 2583.39 2679.89 0.00 0.00 
0.00 0.00 0.00 1896.29 1886.94 2422.03 2424.21 2436.10 2457.46 2488.21 2528.30 2577.73 2636.44 2704.34 2781.17 2866.50 2959.67 3059.90 3166.64 2583.02 2681.88 0.00 0.00 
0.00 0.00 0.00 1355.75 1891.41 2427.03 2430.33 2442.91 2464.65 2495.65 2535.98 2585.67 2644.71 2712.95 2790.05 2875.30 2967.43 3064.63 3165.98 2578.54 1916.77 0.00 0.00 
0.00 0.00 0.00 810.41 1354.75 1894.04 1896.84 1906.86 1923.95 1948.24 1979.81 2018.71 2064.94 2118.42 2178.85 2245.58 2317.28 2391.83 2467.55 1846.71 1131.45 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 1355.00 1359.58 1367.63 1380.16 1397.69 1420.41 1448.41 1481.70 1520.22 1563.71 1611.41 1661.44 1709.02 1742.90 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
