D_nATP	left	198.41	197.94	200.63	211.35	229.61	253.24	280.36	309.55	339.80	370.36	400.67	430.32	459.02	486.57	512.82	537.69	561.12	583.09	603.59	622.65	
D_nATP	mid	253.63	642.46	801.37	912.73	994.91	1056.70	1103.42	1138.62	1164.86	1184.07	1197.72	1206.95	1212.65	1215.54	1216.17	1214.97	1212.29	1208.40	1203.52	1197.82	
D_nATP	right	2969.09	2571.14	2399.06	2265.65	2153.11	2054.83	1967.41	1888.71	1817.21	1751.77	1691.48	1635.61	1583.57	1534.90	1489.19	1446.11	1405.39	1366.80	1330.14	1295.23	

D_nADP	left	0.00	0.00	0.00	0.01	0.02	0.04	0.07	0.11	0.17	0.26	0.37	0.51	0.68	0.89	1.13	1.41	1.73	2.09	2.50	2.95	
D_nADP	mid	0.00	0.00	0.02	0.08	0.18	0.33	0.55	0.83	1.18	1.60	2.10	2.67	3.31	4.03	4.83	5.71	6.66	7.69	8.80	9.99	
D_nADP	right	0.00	0.03	0.18	0.44	0.81	1.30	1.89	2.60	3.41	4.32	5.34	6.45	7.66	8.97	10.37	11.87	13.46	15.13	16.89	18.74	

E_nE	left	69.44	69.42	70.41	74.14	80.40	88.41	97.48	107.11	116.95	126.73	136.27	145.44	154.13	162.29	169.87	176.85	183.22	188.97	194.11	198.64	
E_nE	mid	88.77	224.90	279.80	317.44	344.39	363.86	377.80	387.50	393.92	397.75	399.52	399.65	398.47	396.23	393.13	389.33	384.96	380.11	374.88	369.31	
E_nE	right	1039.18	897.69	833.19	782.15	738.47	699.83	665.05	633.35	604.22	577.25	552.10	528.55	506.37	485.41	465.53	446.61	428.56	411.32	394.80	378.96	

D_ND	left	0.00	0.49	0.89	1.23	1.54	1.81	2.05	2.26	2.45	2.62	2.77	2.90	3.02	3.14	3.25	3.36	3.47	3.59	3.71	3.83	
D_ND	mid	0.00	0.90	1.68	2.25	2.68	3.02	3.29	3.53	3.75	3.96	4.17	4.38	4.60	4.83	5.07	5.32	5.58	5.85	6.14	6.43	
D_ND	right	0.01	2.78	3.32	3.73	4.14	4.57	5.02	5.49	5.99	6.50	7.04	7.60	8.18	8.79	9.42	10.08	10.77	11.49	12.23	13.00	

D_E_NDE	left	0.00	0.05	0.18	0.39	0.68	1.06	1.53	2.10	2.79	3.58	4.49	5.50	6.62	7.83	9.15	10.56	12.07	13.66	15.34	17.11	
D_E_NDE	mid	0.00	0.30	1.30	2.87	4.89	7.26	9.92	12.82	15.92	19.19	22.61	26.18	29.87	33.68	37.61	41.64	45.77	50.00	54.31	58.72	
D_E_NDE	right	0.00	5.04	12.52	20.41	28.57	36.98	45.63	54.51	63.60	72.90	82.40	92.08	101.94	111.95	122.11	132.41	142.83	153.35	163.96	174.65	

