20	8	3.4243	6.65147
8	60	19.5245	13.2507
15	2	37.7615	16.7551
14	60	54.1897	15.8576
15	2	72.2024	19.3503
14	60	88.4755	16.3672
15	2	106.508	20.0687
14	60	122.762	16.4511
15	2	140.807	20.2956
14	60	157.055	16.464
15	2	175.104	20.3744
14	60	191.35	16.4654
15	2	209.401	20.4033
14	60	225.645	16.4652
15	2	243.697	20.4142
14	60	259.941	16.465
15	2	277.993	20.4184
14	60	294.237	16.4649
15	2	312.288	20.42
14	60	328.532	16.4648
15	2	346.584	20.4206
14	60	362.828	16.4648
15	2	380.88	20.4209
14	60	397.124	16.4648
15	2	415.176	20.4209
14	60	431.42	16.4648
15	2	449.471	20.421
14	60	465.715	16.4648
15	2	483.767	20.421
14	60	500.011	16.4648
15	2	518.063	20.421
14	60	534.307	16.4648
