0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	61.02	85.43	85.44	85.46	85.47	85.49	85.51	85.53	85.55	85.58	85.60	85.63	85.65	85.68	85.71	85.75	85.78	85.81	85.85	85.89	85.93	85.97	86.01	86.05	86.10	86.14	86.19	86.24	86.29	86.34	86.39	86.45	86.50	86.56	86.62	86.68	86.74	86.80	86.86	86.93	87.00	87.06	87.13	87.20	87.27	87.35	87.42	87.50	87.57	87.64	87.71	87.76	87.81	87.85	87.89	87.92	87.94	87.96	87.97	87.97	87.97	87.96	87.94	87.92	87.90	87.89	62.76	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.40	109.81	134.23	134.25	134.27	134.29	134.32	134.35	134.38	134.41	134.45	134.48	134.52	134.57	134.61	134.65	134.70	134.75	134.81	134.86	134.92	134.98	135.04	135.10	135.17	135.23	135.30	135.38	135.45	135.53	135.60	135.69	135.77	135.85	135.94	136.03	136.12	136.21	136.31	136.41	136.51	136.61	136.72	136.82	136.93	137.04	137.15	137.27	137.38	137.50	137.62	137.73	137.83	137.92	138.00	138.07	138.12	138.17	138.20	138.23	138.24	138.25	138.25	138.23	138.21	138.18	138.14	138.10	138.06	112.91	87.79	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	36.59	109.78	134.20	158.62	158.64	158.66	183.11	183.14	183.17	183.21	183.25	183.30	183.35	183.40	183.45	183.51	183.57	183.63	183.70	183.76	183.84	183.91	183.99	184.07	184.15	184.24	184.33	184.42	184.51	184.61	184.71	184.82	184.93	185.04	185.15	185.26	185.38	185.51	185.63	185.76	185.89	186.02	186.16	186.30	186.44	186.58	186.73	186.88	187.04	187.19	187.35	187.52	187.68	187.83	187.97	188.09	188.19	188.28	188.36	188.43	188.47	188.51	188.53	188.54	188.53	188.52	188.49	188.45	188.40	163.23	163.17	163.10	137.94	112.81	37.59	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	36.59	109.77	134.18	158.60	183.03	183.05	183.08	207.53	207.57	207.61	207.65	207.70	207.75	207.80	207.86	207.92	207.99	208.05	208.13	208.20	208.28	208.36	208.44	208.53	208.62	208.72	208.81	208.92	209.02	209.13	209.24	209.35	209.47	209.59	209.72	209.85	209.98	210.11	210.25	210.39	210.54	210.68	210.84	210.99	211.15	211.31	211.47	211.64	211.81	211.99	212.16	212.34	212.53	212.71	212.89	213.04	213.18	213.30	213.40	213.49	213.56	213.62	213.66	213.68	213.69	213.69	213.67	213.64	213.59	213.54	188.35	188.28	188.21	163.03	137.87	112.74	37.57	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	109.76	134.17	158.58	183.00	207.43	207.46	207.50	207.54	207.58	207.62	207.66	207.71	207.76	207.82	207.87	207.94	208.00	208.07	208.14	208.21	208.29	208.37	208.46	208.54	208.63	208.73	208.83	208.93	209.03	209.14	209.25	209.37	209.48	209.61	209.73	209.86	209.99	210.13	210.26	210.40	210.55	210.70	210.85	211.00	211.16	211.32	211.49	211.65	211.83	212.00	212.18	212.36	212.54	212.73	212.90	213.05	213.19	213.31	213.42	213.51	213.58	213.63	213.68	213.70	213.71	213.71	213.69	213.66	213.61	213.56	213.48	213.40	213.31	188.12	162.95	137.79	112.68	0.00	0.00	0.00	
0.00	0.00	0.00	85.36	134.15	158.56	182.98	207.41	207.44	231.88	231.92	231.96	232.00	232.05	232.10	232.15	232.21	232.27	232.34	232.40	232.48	232.55	232.63	232.72	232.80	232.89	232.99	233.08	233.19	233.29	233.40	233.51	233.63	233.75	233.88	234.00	234.14	234.27	234.41	234.55	234.70	234.85	235.01	235.16	235.33	235.49	235.66	235.83	236.01	236.19	236.37	236.56	236.75	236.95	237.15	237.35	237.55	237.76	237.95	238.12	238.28	238.41	238.53	238.63	238.71	238.78	238.82	238.85	238.86	238.86	238.84	238.80	238.75	238.69	238.61	238.52	213.32	213.22	188.03	162.85	137.71	87.58	0.00	0.00	
0.00	0.00	0.00	109.75	158.54	182.96	207.38	207.41	231.85	231.88	231.92	231.96	232.01	232.06	232.11	232.16	232.22	232.28	232.35	232.41	232.49	232.56	232.64	232.73	232.81	232.90	233.00	233.10	233.20	233.30	233.41	233.53	233.64	233.76	233.89	234.02	234.15	234.28	234.42	234.57	234.71	234.86	235.02	235.18	235.34	235.50	235.67	235.84	236.02	236.20	236.38	236.57	236.76	236.96	237.16	237.36	237.56	237.77	237.96	238.14	238.29	238.43	238.54	238.64	238.73	238.79	238.84	238.87	238.88	238.88	238.86	238.82	238.77	238.71	238.63	238.54	238.43	213.23	213.11	187.92	162.75	112.59	0.00	0.00	
0.00	0.00	60.96	134.13	158.54	182.96	207.38	231.82	231.85	231.89	256.34	256.38	256.43	256.48	256.54	256.60	256.66	256.73	256.80	256.88	256.96	257.04	257.13	257.22	257.32	257.42	257.52	257.63	257.75	257.86	257.98	258.11	258.24	258.37	258.51	258.65	258.80	258.95	259.10	259.26	259.42	259.59	259.76	259.93	260.11	260.29	260.48	260.67	260.87	261.07	261.27	261.48	261.69	261.90	262.12	262.34	262.57	262.80	263.01	263.20	263.38	263.53	263.66	263.77	263.86	263.93	263.98	264.01	264.03	264.02	264.00	263.96	263.91	263.84	263.76	238.55	238.44	238.32	213.12	187.92	162.75	137.61	62.52	0.00	
