0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.16 2.16 2.16 2.15 2.15 2.15 2.16 2.17 2.17 2.19 2.20 2.21 2.23 2.25 2.27 2.29 2.31 2.34 2.36 2.39 2.41 2.43 2.44 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 2.15 5.04 5.02 6.42 6.38 6.36 6.35 6.35 6.35 6.36 6.38 6.41 6.44 6.48 6.52 6.57 6.62 6.68 6.74 6.81 6.88 6.96 7.03 7.11 7.19 7.28 5.74 5.78 2.48 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 3.60 5.04 6.43 7.80 7.74 7.70 7.68 7.66 7.65 7.65 7.67 7.69 7.72 7.76 7.80 7.86 7.91 7.98 8.05 8.12 8.21 8.29 8.38 8.48 8.58 8.68 8.79 8.91 7.38 5.82 4.17 0.00 0.00 0.00 
0.00 0.00 0.00 2.16 5.05 6.43 7.78 7.70 9.06 9.01 8.98 8.96 8.95 8.95 8.96 8.99 9.02 9.07 9.12 9.18 9.25 9.32 9.41 9.49 9.59 9.69 9.80 9.91 10.03 10.15 10.28 8.80 8.94 7.42 5.85 2.51 0.00 0.00 
0.00 0.00 0.00 5.06 6.45 7.80 9.14 9.05 8.98 8.92 8.88 8.85 8.84 8.84 8.86 8.88 8.91 8.96 9.01 9.07 9.13 9.21 9.29 9.38 9.47 9.57 9.68 9.79 9.91 10.04 10.18 10.33 10.49 9.00 7.48 5.89 0.00 0.00 
0.00 0.00 0.00 5.06 7.85 7.74 9.08 8.98 8.90 8.84 8.80 8.77 8.76 8.76 8.77 8.79 8.83 8.87 8.92 8.98 9.04 9.12 9.20 9.28 9.38 9.48 9.58 9.70 9.82 9.95 10.09 10.25 10.42 8.94 9.10 5.89 0.00 0.00 
0.00 0.00 2.18 6.48 7.82 9.14 9.03 8.94 10.29 10.23 10.18 10.15 10.14 10.14 10.15 10.18 10.22 10.27 10.32 10.39 10.47 10.55 10.65 10.75 10.85 10.97 11.09 11.22 11.36 11.50 11.66 10.20 10.37 10.54 9.06 7.54 2.55 0.00 
0.00 0.00 2.19 6.47 7.81 9.13 9.02 8.92 10.28 10.21 10.16 10.13 10.12 10.12 10.13 10.16 10.20 10.25 10.30 10.37 10.45 10.53 10.63 10.73 10.83 10.95 11.07 11.20 11.33 11.48 11.63 10.18 10.35 10.52 9.05 7.53 2.55 0.00 
0.00 0.00 2.18 6.48 7.82 9.14 9.04 8.94 10.29 10.23 10.18 10.15 10.14 10.14 10.15 10.18 10.22 10.27 10.32 10.39 10.47 10.55 10.65 10.75 10.85 10.97 11.09 11.22 11.35 11.49 11.64 10.19 10.36 10.53 9.05 7.53 2.55 0.00 
0.00 0.00 0.00 5.06 7.85 7.75 9.08 8.98 8.90 8.84 8.80 8.77 8.76 8.76 8.77 8.79 8.83 8.87 8.92 8.98 9.04 9.12 9.20 9.28 9.37 9.47 9.58 9.69 9.81 9.94 10.08 10.24 10.40 8.92 9.08 5.88 0.00 0.00 
0.00 0.00 0.00 5.06 6.45 7.80 9.14 9.05 8.98 8.92 8.88 8.85 8.84 8.84 8.86 8.88 8.91 8.96 9.01 9.07 9.13 9.21 9.29 9.37 9.47 9.57 9.67 9.78 9.90 10.02 10.16 10.31 10.46 8.98 7.46 5.87 0.00 0.00 
0.00 0.00 0.00 2.16 5.05 6.43 7.78 7.71 9.07 9.02 8.98 8.96 8.95 8.95 8.96 8.99 9.02 9.07 9.12 9.18 9.25 9.32 9.40 9.49 9.58 9.68 9.79 9.90 10.01 10.13 10.26 8.77 8.91 7.40 5.83 2.51 0.00 0.00 
0.00 0.00 0.00 0.00 3.60 5.04 6.43 7.80 7.75 7.71 7.68 7.66 7.65 7.65 7.67 7.69 7.72 7.76 7.80 7.85 7.91 7.98 8.05 8.12 8.20 8.28 8.37 8.46 8.56 8.66 8.76 8.88 7.35 5.80 4.16 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 2.15 5.04 5.03 6.42 6.39 6.36 6.35 6.35 6.35 6.36 6.38 6.41 6.44 6.48 6.52 6.57 6.62 6.68 6.74 6.81 6.88 6.95 7.02 7.10 7.18 7.25 5.72 5.76 2.48 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 2.16 2.16 2.16 2.15 2.15 2.15 2.16 2.17 2.17 2.18 2.20 2.21 2.23 2.25 2.27 2.29 2.31 2.33 2.36 2.38 2.40 2.42 2.43 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
