0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.01	0.01	0.01	0.30	0.83	0.98	0.99	0.96	0.93	0.91	0.89	0.87	0.86	0.85	0.84	0.83	0.82	0.82	0.81	0.81	0.80	0.80	0.80	0.80	0.80	0.80	0.81	0.81	0.81	0.82	0.82	0.83	0.84	0.84	0.85	0.87	0.88	0.90	0.91	0.93	0.96	0.98	1.02	1.05	1.10	1.14	1.20	1.19	1.03	0.39	0.01	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.01	0.01	0.66	1.39	1.35	0.93	0.80	0.76	0.73	0.71	0.70	0.68	0.67	0.66	0.65	0.64	0.64	0.63	0.63	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.62	0.63	0.63	0.63	0.64	0.64	0.65	0.66	0.67	0.68	0.69	0.70	0.72	0.74	0.76	0.78	0.81	0.84	0.88	0.92	0.98	1.15	1.72	1.84	0.89	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.01	0.06	1.42	1.36	0.86	0.70	0.62	0.55	0.54	0.52	0.51	0.50	0.49	0.48	0.47	0.47	0.46	0.46	0.45	0.45	0.45	0.45	0.44	0.44	0.44	0.44	0.44	0.44	0.45	0.45	0.45	0.45	0.45	0.46	0.46	0.47	0.47	0.48	0.49	0.49	0.50	0.52	0.53	0.54	0.56	0.58	0.60	0.62	0.65	0.68	0.77	0.88	1.11	1.83	2.01	0.07	0.00	0.00	0.00	
0.00	0.00	0.01	0.06	1.72	1.06	0.71	0.63	0.56	0.52	0.45	0.42	0.41	0.40	0.39	0.38	0.37	0.37	0.36	0.36	0.36	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.36	0.36	0.36	0.37	0.37	0.38	0.38	0.39	0.40	0.40	0.41	0.42	0.44	0.45	0.47	0.49	0.51	0.56	0.65	0.71	0.81	0.95	1.49	2.54	0.00	0.00	0.00	
0.00	0.01	0.01	1.63	1.13	0.68	0.56	0.55	0.49	0.46	0.43	0.41	0.40	0.39	0.38	0.38	0.37	0.37	0.36	0.36	0.36	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.35	0.36	0.36	0.36	0.37	0.37	0.37	0.38	0.39	0.39	0.40	0.41	0.42	0.44	0.45	0.47	0.49	0.51	0.54	0.58	0.50	0.71	0.75	0.95	1.66	2.36	0.00	0.00	
0.00	0.01	0.86	1.65	0.80	0.59	0.55	0.50	0.44	0.34	0.27	0.25	0.24	0.23	0.23	0.23	0.22	0.22	0.22	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.21	0.22	0.22	0.22	0.22	0.23	0.23	0.24	0.24	0.25	0.26	0.26	0.27	0.28	0.30	0.33	0.43	0.57	0.41	0.73	0.82	1.16	2.16	0.00	0.00	
0.01	0.01	1.93	1.09	0.73	0.61	0.52	0.41	0.43	0.40	0.38	0.37	0.36	0.36	0.35	0.34	0.34	0.34	0.33	0.33	0.33	0.33	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.32	0.33	0.33	0.33	0.33	0.34	0.34	0.34	0.35	0.35	0.36	0.37	0.37	0.38	0.39	0.41	0.42	0.43	0.45	0.47	0.49	0.25	0.33	0.58	0.45	0.49	0.69	1.32	2.13	0.00	
0.01	0.47	1.97	0.92	0.68	0.56	0.48	0.45	0.41	0.36	0.29	0.25	0.25	0.24	0.24	0.23	0.23	0.23	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.22	0.23	0.23	0.23	0.24	0.24	0.24	0.25	0.25	0.26	0.27	0.28	0.29	0.30	0.31	0.36	0.48	0.26	0.36	0.34	0.41	0.54	0.85	2.17	0.00	
0.01	1.38	1.40	0.85	0.66	0.55	0.39	0.43	0.37	0.23	0.19	0.18	0.17	0.17	0.17	0.16	0.16	0.16	0.16	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.15	0.16	0.16	0.16	0.16	0.17	0.17	0.17	0.18	0.18	0.19	0.19	0.20	0.21	0.22	0.28	0.25	0.29	0.33	0.48	0.59	0.70	0.99	0.00	
