0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	2.37	14.32	17.22	16.11	15.22	14.64	14.25	14.01	13.88	13.84	13.88	14.01	14.25	14.61	15.16	16.00	17.01	15.13	2.93	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	15.50	25.76	16.51	13.03	12.27	11.68	11.27	10.99	10.81	10.71	10.68	10.71	10.81	10.98	11.25	11.64	12.19	12.88	16.21	26.74	16.34	0.00	0.00	0.00	
0.00	0.00	0.00	17.53	25.70	13.03	11.48	9.52	8.93	8.50	8.20	7.99	7.86	7.79	7.76	7.79	7.86	7.99	8.19	8.48	8.88	9.42	11.28	14.24	28.42	18.01	0.00	0.00	
0.00	0.00	0.00	40.66	16.54	12.27	8.07	8.49	7.98	7.56	7.28	7.10	6.98	6.92	6.90	6.92	6.98	7.10	7.28	7.54	7.94	8.41	9.03	12.07	17.49	40.75	0.00	0.00	
0.00	0.00	14.44	36.06	15.36	9.72	9.04	7.77	7.17	6.79	6.53	6.37	6.26	6.20	6.19	6.21	6.26	6.37	6.53	6.78	7.15	7.72	8.95	10.22	15.18	35.42	18.77	0.00	
0.00	0.00	42.72	31.16	14.97	10.18	8.69	7.61	7.03	6.66	6.42	6.26	6.16	6.10	6.09	6.10	6.16	6.27	6.42	6.66	7.02	7.58	8.64	10.10	14.81	30.54	41.08	0.00	
0.00	0.00	20.41	36.03	15.30	10.27	8.98	7.74	7.15	6.77	6.53	6.36	6.26	6.20	6.19	6.21	6.26	6.37	6.53	6.78	7.15	7.73	8.84	10.23	15.18	35.36	18.62	0.00	
0.00	0.00	0.00	41.40	17.60	12.11	9.04	8.41	7.93	7.53	7.26	7.09	6.98	6.92	6.90	6.92	6.98	7.10	7.28	7.55	7.95	8.42	9.04	11.81	16.76	40.64	0.00	0.00	
0.00	0.00	0.00	18.27	28.53	14.26	11.28	9.41	8.86	8.46	8.17	7.97	7.85	7.78	7.76	7.78	7.86	7.99	8.19	8.49	8.89	9.44	10.20	13.99	28.44	17.98	0.00	0.00	
0.00	0.00	0.00	0.00	16.39	26.73	16.18	12.85	12.15	11.61	11.22	10.96	10.79	10.70	10.67	10.71	10.81	10.98	11.26	11.66	12.21	12.91	16.15	26.80	16.37	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	2.93	15.11	16.96	15.94	15.12	14.57	14.22	13.99	13.87	13.83	13.88	14.01	14.25	14.62	15.18	16.02	17.04	15.17	2.94	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
