0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 550.43 554.33 559.76 565.77 571.91 577.98 583.86 589.50 594.87 599.94 604.72 609.19 613.37 617.24 620.83 624.12 627.14 629.88 632.37 634.60 636.58 638.33 639.86 641.17 642.27 643.18 643.91 644.45 644.84 645.07 645.15 645.09 644.91 644.61 644.20 643.69 643.08 642.40 641.63 640.80 639.91 638.96 637.96 636.92 635.85 634.74 633.62 632.47 631.30 630.13 628.95 627.76 626.57 625.39 624.21 623.04 621.87 620.71 619.57 618.43 617.30 616.19 615.08 613.98 612.88 611.79 610.70 609.61 608.51 607.41 606.29 605.15 603.99 602.81 601.58 600.32 599.02 597.67 596.30 594.93 593.65 592.71 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 1042.79 2108.80 2136.33 2705.91 2738.97 2771.67 2804.31 2836.59 2868.16 2898.76 2928.19 2956.31 2983.05 3008.34 3032.16 3054.49 3075.33 3094.71 3112.64 3129.15 3144.28 3158.06 3170.54 3181.76 3191.77 3200.60 3208.32 3214.96 3220.59 3225.24 3228.96 3231.81 3233.84 3235.08 3235.60 3235.43 3234.63 3233.23 3231.28 3228.83 3225.91 3222.57 3218.85 3214.78 3210.39 3205.73 3200.83 3195.71 3190.41 3184.95 3179.37 3173.68 3167.91 3162.08 3156.20 3150.31 3144.40 3138.49 3132.60 3126.74 3120.91 3115.12 3109.37 3103.66 3098.00 3092.38 3086.80 3081.25 3075.73 3070.21 3064.70 3059.18 3053.62 3048.01 3042.34 3036.57 3030.68 3024.64 3018.42 3011.99 3005.32 2998.36 2991.07 2983.40 2975.26 2966.50 2957.06 2356.82 2349.06 1171.92 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 2056.93 2599.68 3159.78 3202.24 3246.53 3834.86 3880.02 3925.78 3971.17 4015.57 4058.58 4099.92 4139.42 4176.95 4212.45 4245.86 4277.19 4306.42 4333.60 4358.75 4381.90 4403.12 4422.45 4439.95 4455.68 4469.71 4482.11 4492.93 4502.26 4510.15 4516.68 4521.92 4525.93 4528.78 4530.55 4531.29 4531.07 4529.96 4528.02 4525.32 4521.90 4517.83 4513.17 4507.97 4502.29 4496.16 4489.65 4482.80 4475.64 4468.23 4460.61 4452.80 4444.84 4436.77 4428.61 4420.39 4412.14 4403.87 4395.61 4387.37 4379.16 4370.99 4362.88 4354.83 4346.84 4338.91 4331.04 4323.22 4315.45 4307.70 4299.98 4292.26 4284.51 4276.73 4268.87 4260.92 4252.84 4244.59 4236.14 4227.45 4218.46 4209.15 4199.45 4189.33 4178.74 4167.65 4156.07 3553.08 3540.38 3528.11 2930.41 2337.82 583.78 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 990.46 2017.20 3069.37 3114.13 3685.45 3736.85 4327.34 4382.72 4436.68 4489.93 4542.22 4593.17 4642.44 4689.75 4734.94 4777.86 4818.46 4856.67 4892.50 4925.95 4957.05 4985.82 5012.33 5036.62 5058.75 5078.80 5096.84 5112.92 5127.14 5139.57 5150.28 5159.36 5166.88 5172.93 5177.57 5180.89 5182.96 5183.87 5183.68 5182.47 5180.31 5177.27 5173.42 5168.83 5163.55 5157.66 5151.21 5144.26 5136.86 5129.07 5120.93 5112.50 5103.82 5094.93 5085.86 5076.66 5067.36 5057.99 5048.57 5039.13 5029.70 5020.29 5010.91 5001.58 4992.31 4983.10 4973.95 4964.88 4955.86 4946.91 4938.00 4929.13 4920.27 4911.41 4902.53 4893.60 4884.59 4875.46 4866.19 4856.73 4847.04 4837.07 4826.78 4816.11 4805.02 4793.45 4781.36 4768.69 4755.33 4741.21 4137.09 4122.68 3522.12 3510.30 2332.58 1165.34 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 1982.95 3013.47 3569.83 3626.71 4208.07 4268.91 4329.95 4932.71 4993.07 5053.39 5112.67 5170.34 5226.01 5279.43 5330.40 5378.79 5424.54 5467.61 5507.98 5545.67 5580.71 5613.14 5643.01 5670.39 5695.35 5717.96 5738.30 5756.46 5772.51 5786.55 5798.66 5808.92 5817.44 5824.30 5829.58 5833.37 5835.76 5836.83 5836.68 5835.37 5832.99 5829.63 5825.35 5820.23 5814.34 5807.76 5800.55 5792.77 5784.49 5775.76 5766.65 5757.20 5747.46 5737.48 5727.31 5716.99 5706.54 5696.02 5685.44 5674.83 5664.23 5653.65 5643.10 5632.60 5622.17 5611.80 5601.50 5591.28 5581.13 5571.03 5560.99 5550.99 5541.00 5531.01 5520.99 5510.91 5500.75 5490.45 5479.99 5469.33 5458.40 5447.17 5435.57 5423.57 5411.09 5398.10 5384.56 5370.45 5355.86 4749.94 4734.12 4717.90 4115.10 4100.47 3502.92 2328.20 0.00 0.00 0.00 
0.00 0.00 0.00 1931.63 2947.63 3500.86 4069.63 4137.14 4727.32 4797.33 4866.95 4934.35 4998.08 5059.87 5119.86 5177.89 5233.75 5287.24 5338.24 5386.65 5432.41 5475.48 5515.86 5553.58 5588.65 5621.12 5651.04 5678.48 5703.50 5726.18 5746.60 5764.84 5780.98 5795.11 5807.31 5817.67 5826.29 5833.24 5838.63 5842.52 5845.01 5846.19 5846.13 5844.92 5842.65 5839.38 5835.20 5830.17 5824.38 5817.88 5810.75 5803.06 5794.85 5786.20 5777.15 5767.77 5758.09 5748.17 5738.05 5727.76 5717.36 5706.87 5696.32 5685.74 5675.15 5664.57 5654.03 5643.53 5633.09 5622.71 5612.40 5602.15 5591.97 5581.84 5571.76 5561.71 5551.67 5541.63 5531.55 5521.41 5511.18 5500.82 5490.29 5479.55 5468.55 5457.24 5445.58 5433.49 5420.92 5407.82 5394.12 5379.73 5364.50 5348.11 5330.66 5312.93 4708.17 4691.51 4091.05 3494.54 2324.19 0.00 0.00 
0.00 0.00 938.24 2400.61 2938.10 3493.73 4064.35 4647.70 4723.28 4796.52 5404.02 5477.16 5549.03 5618.96 5686.67 5751.96 5814.62 5874.53 5931.56 5985.62 6036.69 6084.73 6129.76 6171.79 6210.86 6247.04 6280.36 6310.92 6338.79 6364.04 6386.78 6407.09 6425.06 6440.80 6454.39 6465.94 6475.54 6483.29 6489.30 6493.65 6496.44 6497.77 6497.73 6496.42 6493.91 6490.30 6485.67 6480.10 6473.68 6466.48 6458.58 6450.04 6440.94 6431.34 6421.31 6410.89 6400.15 6389.13 6377.90 6366.48 6354.93 6343.28 6331.56 6319.81 6308.05 6296.30 6284.59 6272.93 6261.32 6249.79 6238.33 6226.94 6215.62 6204.37 6193.16 6181.99 6170.84 6159.68 6148.48 6137.22 6125.85 6114.35 6102.67 6090.75 6078.55 6066.02 6053.09 6039.70 6025.78 6011.26 5996.07 5980.12 5963.35 5945.86 5338.18 5319.75 5301.06 4697.10 4095.56 3497.42 2905.03 1161.33 0.00 
0.00 0.00 1871.32 2864.83 3411.97 3978.32 4559.89 4639.97 5239.82 5320.03 5400.08 5476.48 5550.14 5621.26 5689.80 5755.65 5818.72 5878.91 5936.15 5990.38 6041.57 6089.72 6134.84 6176.96 6216.11 6252.36 6285.76 6316.39 6344.33 6369.66 6392.47 6412.85 6430.89 6446.70 6460.37 6471.99 6481.66 6489.49 6495.57 6500.00 6502.86 6504.26 6504.29 6503.05 6500.61 6497.06 6492.50 6487.00 6480.64 6473.50 6465.66 6457.18 6448.13 6438.58 6428.59 6418.21 6407.51 6396.54 6385.33 6373.95 6362.42 6350.80 6339.10 6327.36 6315.61 6303.87 6292.16 6280.50 6268.89 6257.35 6245.88 6234.48 6223.14 6211.87 6200.64 6189.44 6178.25 6167.06 6155.83 6144.54 6133.14 6121.60 6109.88 6097.94 6085.71 6073.15 6060.20 6046.78 6032.84 6018.29 6003.03 5986.96 5969.90 5951.77 5932.71 5913.30 5306.41 5287.33 4683.77 4083.45 3487.91 2322.10 0.00 
0.00 0.00 1881.28 2861.51 3404.12 3967.86 4549.92 4631.38 5232.05 5314.50 5395.52 5473.59 5548.68 5620.90 5690.26 5756.75 5820.29 5880.86 5938.38 5992.85 6044.23 6092.54 6137.80 6180.03 6219.28 6255.62 6289.11 6319.82 6347.83 6373.23 6396.10 6416.54 6434.65 6450.51 6464.24 6475.91 6485.64 6493.52 6499.65 6504.12 6507.04 6508.49 6508.57 6507.36 6504.97 6501.47 6496.95 6491.49 6485.17 6478.07 6470.26 6461.82 6452.80 6443.28 6433.32 6422.98 6412.30 6401.35 6390.17 6378.80 6367.30 6355.68 6344.00 6332.27 6320.53 6308.79 6297.09 6285.42 6273.82 6262.27 6250.79 6239.38 6228.04 6216.75 6205.50 6194.29 6183.09 6171.89 6160.64 6149.33 6137.92 6126.38 6114.65 6102.70 6090.48 6077.93 6064.99 6051.59 6037.68 6023.15 6007.92 5991.87 5974.84 5956.63 5937.26 5917.67 5310.71 5291.13 4687.18 4086.24 3489.56 2320.06 0.00 
