0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	278.28	280.37	284.25	288.62	292.96	297.04	300.79	304.17	307.17	309.79	312.01	313.85	315.28	316.31	316.93	317.15	316.96	316.36	315.36	313.96	312.17	309.98	307.41	304.46	301.12	297.41	293.38	289.08	284.74	280.88	278.80	0.00	0.00	0.00	
0.00	0.00	0.00	269.95	275.18	281.72	286.86	291.54	295.91	299.96	303.66	306.99	309.96	312.54	314.73	316.54	317.95	318.97	319.58	319.80	319.61	319.02	318.04	316.66	314.90	312.74	310.21	307.30	304.01	300.35	296.35	292.02	287.36	282.21	275.61	270.28	0.00	0.00	
0.00	0.00	265.21	267.89	276.29	283.09	288.69	293.59	298.03	302.07	305.75	309.05	311.99	314.54	316.72	318.51	319.90	320.91	321.52	321.73	321.55	320.97	320.00	318.64	316.89	314.76	312.26	309.37	306.12	302.49	298.49	294.09	289.22	283.63	276.82	268.43	265.85	0.00	
0.00	0.00	259.81	268.53	276.90	283.85	289.64	294.65	299.12	303.18	306.84	310.14	313.06	315.60	317.76	319.54	320.93	321.93	322.54	322.75	322.57	321.99	321.03	319.67	317.94	315.82	313.33	310.47	307.22	303.60	299.60	295.17	290.21	284.46	277.58	269.29	260.68	0.00	
0.00	0.00	259.57	268.38	276.81	283.79	289.61	294.63	299.12	303.17	306.84	310.13	313.05	315.60	317.76	319.54	320.93	321.93	322.54	322.75	322.57	321.99	321.03	319.67	317.94	315.82	313.33	310.47	307.22	303.61	299.60	295.18	290.21	284.48	277.60	269.34	260.74	0.00	
0.00	0.00	264.80	267.51	276.04	282.94	288.61	293.55	298.00	302.06	305.74	309.05	311.99	314.54	316.72	318.51	319.90	320.91	321.52	321.73	321.55	320.97	320.00	318.64	316.89	314.76	312.26	309.38	306.12	302.49	298.49	294.10	289.23	283.65	276.87	268.49	265.92	0.00	
0.00	0.00	0.00	269.42	274.86	281.54	286.76	291.49	295.88	299.94	303.65	306.99	309.95	312.54	314.73	316.54	317.95	318.97	319.58	319.80	319.61	319.02	318.04	316.66	314.90	312.74	310.21	307.30	304.01	300.36	296.36	292.03	287.38	282.24	275.66	270.34	0.00	0.00	
0.00	0.00	0.00	0.00	278.09	280.24	284.17	288.57	292.93	297.02	300.78	304.16	307.17	309.79	312.01	313.85	315.28	316.31	316.93	317.15	316.96	316.36	315.36	313.96	312.17	309.98	307.41	304.46	301.12	297.42	293.38	289.09	284.76	280.90	278.83	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
