D_nATP	left	384.68	1486.23	1252.06	847.42	596.45	480.43	431.19	407.95	393.28	381.14	370.13	360.38	352.38	346.54	343.05	341.88	342.88	345.80	350.29	355.99	362.49	369.42	376.41	383.16	389.47	395.27	400.65	
D_nATP	mid	1039.72	3788.16	2829.83	1892.35	1350.33	1110.10	1016.65	981.77	967.88	961.62	959.32	960.57	965.66	974.66	987.23	1002.74	1020.31	1038.99	1057.73	1075.45	1091.07	1103.55	1111.91	1115.34	1113.25	1105.45	1092.25	
D_nATP	right	7010.51	2075.69	1328.88	863.99	626.00	529.55	499.21	495.77	502.39	512.43	523.46	534.62	545.71	556.67	567.48	578.04	588.15	597.52	605.77	612.45	617.04	619.01	617.84	613.03	604.23	591.27	574.29	

D_nADP	left	0.00	20.15	113.77	241.97	324.40	363.32	381.80	391.77	398.68	404.99	411.85	419.82	429.09	439.57	450.99	462.92	474.86	486.29	496.78	506.00	513.76	519.95	524.55	527.59	529.10	529.05	527.29	
D_nADP	mid	0.00	79.87	344.27	660.56	853.36	941.99	981.04	998.39	1006.30	1009.86	1010.99	1010.38	1008.35	1005.24	1001.46	997.47	993.73	990.57	988.19	986.65	985.96	986.06	986.89	988.32	990.23	992.45	994.78	
D_nADP	right	0.00	76.94	257.75	436.57	535.64	578.14	592.91	594.07	587.71	576.56	562.30	546.36	530.03	514.34	500.05	487.63	477.32	469.21	463.25	459.31	457.20	456.73	457.68	459.82	462.94	466.82	471.30	

E_nE	left	134.64	447.05	227.13	50.33	20.32	14.45	12.02	10.55	9.50	8.77	8.36	8.26	8.51	9.11	10.07	11.38	12.98	14.79	16.70	18.58	20.32	21.85	23.17	24.28	25.34	26.67	28.60	
E_nE	mid	363.92	1099.51	473.29	113.81	54.39	43.41	40.91	41.74	45.01	50.63	58.28	67.09	75.92	83.65	89.48	92.95	94.01	92.93	90.17	86.17	81.30	75.85	70.14	64.42	58.98	54.19	50.43	
E_nE	right	2453.82	561.47	185.72	53.13	33.74	31.83	34.66	40.08	47.21	54.98	62.17	67.79	71.38	72.88	72.47	70.41	67.02	62.62	57.55	52.10	46.52	40.99	35.66	30.67	26.12	22.12	18.71	

D_ND	left	0.02	7.17	28.19	113.11	251.21	358.46	445.32	530.63	623.75	727.40	840.18	957.66	1072.63	1175.61	1256.55	1307.84	1327.28	1318.05	1285.97	1236.57	1173.83	1100.25	1017.11	924.65	822.38	709.94	587.80	
D_ND	mid	0.05	22.56	86.68	298.15	560.68	711.72	787.44	823.83	832.27	813.24	767.27	698.79	615.57	527.64	445.79	378.75	330.46	299.98	284.03	279.56	284.68	298.57	321.03	352.29	392.62	441.69	497.61	
D_ND	right	0.40	34.23	127.71	346.14	493.35	498.96	435.01	351.17	272.45	210.13	166.29	137.55	119.37	108.34	102.41	100.47	102.01	106.93	115.41	127.88	145.09	168.14	198.54	238.16	289.20	354.03	434.77	

D_E_NDE	left	0.00	71.43	259.36	406.92	440.62	454.16	466.51	480.78	498.50	521.24	551.15	591.06	644.26	713.66	800.16	900.64	1007.44	1110.78	1202.43	1277.74	1335.31	1375.64	1400.07	1410.30	1407.88	1393.56	1367.12	
D_E_NDE	mid	0.00	281.77	772.00	1077.42	1137.07	1160.98	1185.45	1217.11	1257.46	1303.45	1347.28	1379.25	1391.41	1379.05	1341.34	1282.17	1210.00	1135.18	1066.29	1008.31	963.01	930.33	909.33	898.70	897.13	903.78	918.51	
D_E_NDE	right	0.00	491.15	1034.87	1250.78	1266.25	1247.55	1212.83	1162.12	1094.70	1013.30	925.15	838.92	760.91	694.02	638.85	594.83	560.93	536.08	519.23	509.48	505.92	507.71	514.02	524.01	536.91	552.06	569.01	

