0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	82.73	82.49	82.15	81.77	81.36	80.95	80.54	80.13	79.73	79.34	78.96	78.58	78.22	77.87	77.53	77.20	76.88	76.57	76.28	75.99	75.72	75.46	75.21	74.97	74.74	74.53	74.33	74.14	73.96	73.79	73.64	73.49	73.36	73.24	73.14	73.04	72.96	72.89	72.84	72.79	72.76	72.74	72.73	72.73	72.75	72.78	72.82	72.87	72.93	73.01	73.10	73.20	73.32	73.44	73.58	73.73	73.89	74.06	74.25	74.45	74.66	74.88	75.11	75.36	75.62	75.89	76.17	76.47	76.77	77.09	77.43	77.77	78.13	78.50	78.88	79.28	79.69	80.11	80.53	80.94	81.31	81.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	168.66	335.94	334.01	415.49	413.53	411.53	409.48	407.40	405.32	403.24	401.19	399.17	397.18	395.23	393.33	391.48	389.68	387.93	386.24	384.60	383.02	381.49	380.02	378.60	377.24	375.94	374.70	373.52	372.39	371.32	370.31	369.36	368.48	367.65	366.88	366.17	365.52	364.93	364.40	363.93	363.52	363.18	362.89	362.67	362.50	362.40	362.36	362.38	362.46	362.60	362.80	363.06	363.38	363.77	364.21	364.71	365.28	365.90	366.59	367.33	368.14	369.00	369.93	370.91	371.96	373.06	374.23	375.45	376.74	378.08	379.49	380.96	382.49	384.09	385.74	387.46	389.25	391.09	393.01	394.98	397.03	399.13	401.30	403.53	405.83	408.21	410.71	330.86	332.74	167.13	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	338.35	421.40	503.52	500.85	498.16	578.72	575.96	573.10	570.19	567.27	564.36	561.48	558.65	555.86	553.14	550.48	547.88	545.36	542.91	540.54	538.24	536.03	533.89	531.82	529.84	527.94	526.12	524.38	522.73	521.15	519.66	518.25	516.92	515.67	514.51	513.43	512.44	511.53	510.71	509.97	509.31	508.74	508.26	507.86	507.55	507.32	507.17	507.11	507.14	507.25	507.45	507.73	508.09	508.55	509.08	509.70	510.41	511.20	512.07	513.03	514.07	515.20	516.41	517.70	519.08	520.54	522.09	523.72	525.44	527.24	529.12	531.09	533.15	535.29	537.52	539.84	542.24	544.74	547.32	549.99	552.76	555.61	558.54	561.56	564.66	567.82	571.00	492.25	495.50	498.57	418.06	336.24	84.34	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	171.07	339.96	507.96	505.34	586.79	583.68	664.10	660.82	657.54	654.23	650.88	647.54	644.21	640.92	637.69	634.51	631.40	628.36	625.40	622.52	619.73	617.02	614.40	611.87	609.43	607.07	604.81	602.64	600.57	598.58	596.69	594.89	593.19	591.58	590.06	588.64	587.32	586.09	584.95	583.92	582.98	582.13	581.39	580.74	580.18	579.73	579.37	579.11	578.94	578.87	578.90	579.03	579.25	579.58	579.99	580.51	581.12	581.83	582.63	583.53	584.53	585.62	586.81	588.10	589.48	590.96	592.53	594.20	595.96	597.82	599.78	601.84	603.99	606.24	608.58	611.03	613.57	616.21	618.96	621.80	624.75	627.80	630.95	634.19	637.54	640.98	644.51	648.13	651.84	655.68	577.10	580.75	500.95	503.95	338.10	169.47	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	341.46	510.34	592.63	589.31	670.22	666.61	663.02	742.75	739.09	735.34	731.56	727.78	724.03	720.33	716.69	713.11	709.61	706.20	702.87	699.63	696.49	693.45	690.50	687.66	684.91	682.27	679.73	677.29	674.96	672.73	670.60	668.58	666.67	664.86	663.15	661.56	660.07	658.69	657.42	656.25	655.20	654.25	653.41	652.68	652.06	651.54	651.14	650.85	650.66	650.58	650.62	650.76	651.01	651.37	651.84	652.42	653.11	653.90	654.81	655.82	656.94	658.17	659.50	660.95	662.50	664.16	665.93	667.80	669.78	671.88	674.07	676.38	678.80	681.33	683.96	686.71	689.56	692.53	695.61	698.81	702.12	705.54	709.07	712.72	716.47	720.33	724.28	728.31	732.38	654.49	658.66	662.82	583.62	587.32	506.56	339.68	0.00	0.00	0.00	
0.00	0.00	0.00	343.81	513.30	595.71	677.34	673.45	753.92	749.81	745.71	741.72	737.86	734.02	730.20	726.40	722.65	718.95	715.31	711.74	708.25	704.84	701.52	698.30	695.16	692.13	689.19	686.35	683.61	680.97	678.44	676.01	673.68	671.45	669.33	667.32	665.41	663.60	661.90	660.31	658.83	657.45	656.18	655.02	653.97	653.02	652.18	651.45	650.83	650.32	649.92	649.63	649.44	649.37	649.40	649.54	649.79	650.15	650.62	651.20	651.88	652.68	653.58	654.59	655.70	656.93	658.26	659.70	661.25	662.91	664.67	666.54	668.52	670.60	672.80	675.10	677.51	680.03	682.66	685.40	688.25	691.21	694.28	697.47	700.76	704.17	707.70	711.34	715.08	718.95	722.92	727.00	731.23	735.70	740.32	744.92	666.25	670.48	590.46	509.37	341.30	0.00	0.00	
0.00	0.00	173.21	430.15	513.21	595.39	676.86	757.69	753.36	749.09	828.54	824.19	819.83	815.50	811.20	806.94	802.74	798.61	794.55	790.57	786.69	782.90	779.21	775.62	772.14	768.76	765.49	762.34	759.30	756.37	753.55	750.85	748.26	745.79	743.43	741.20	739.07	737.07	735.18	733.42	731.77	730.24	728.83	727.54	726.37	725.32	724.39	723.58	722.89	722.32	721.87	721.55	721.34	721.26	721.30	721.45	721.73	722.13	722.65	723.29	724.05	724.93	725.93	727.05	728.29	729.66	731.14	732.74	734.45	736.29	738.25	740.33	742.52	744.84	747.28	749.83	752.51	755.31	758.23	761.27	764.43	767.71	771.12	774.65	778.31	782.09	786.00	790.04	794.20	798.48	802.90	807.44	812.11	816.87	739.24	744.01	748.81	669.76	589.95	509.15	426.87	171.15	0.00	
0.00	0.00	346.41	516.69	599.25	680.95	761.96	757.46	837.44	832.79	828.10	823.54	819.08	814.68	810.34	806.05	801.84	797.69	793.63	789.65	785.77	781.98	778.29	774.70	771.22	767.85	764.59	761.44	758.40	755.47	752.66	749.96	747.38	744.91	742.56	740.32	738.20	736.20	734.32	732.55	730.91	729.38	727.97	726.68	725.51	724.47	723.54	722.73	722.04	721.47	721.03	720.70	720.50	720.41	720.45	720.61	720.89	721.28	721.80	722.44	723.20	724.08	725.08	726.20	727.44	728.80	730.27	731.87	733.59	735.42	737.38	739.45	741.65	743.96	746.39	748.94	751.61	754.41	757.32	760.35	763.51	766.79	770.19	773.71	777.36	781.13	785.03	789.05	793.21	797.49	801.91	806.47	811.20	816.10	821.18	826.24	748.12	752.98	673.74	593.54	512.03	342.49	0.00	
0.00	0.00	345.55	516.42	599.21	681.02	762.00	757.46	837.39	832.61	827.85	823.22	818.68	814.22	809.84	805.53	801.29	797.14	793.06	789.08	785.19	781.40	777.71	774.12	770.64	767.27	764.01	760.86	757.82	754.89	752.08	749.38	746.80	744.34	741.99	739.75	737.64	735.64	733.76	731.99	730.35	728.82	727.41	726.13	724.96	723.91	722.99	722.18	721.49	720.93	720.48	720.15	719.95	719.87	719.90	720.06	720.34	720.73	721.25	721.89	722.65	723.53	724.53	725.64	726.88	728.24	729.71	731.31	733.02	734.86	736.81	738.88	741.07	743.38	745.81	748.36	751.03	753.82	756.73	759.75	762.90	766.18	769.57	773.09	776.72	780.49	784.37	788.39	792.53	796.80	801.21	805.78	810.51	815.43	820.54	825.65	747.52	752.49	673.30	593.19	511.90	343.09	0.00	
