0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	85.87	85.62	85.27	84.87	84.45	84.03	83.61	83.19	82.79	82.40	82.02	81.65	81.30	80.97	80.65	80.35	80.07	79.80	79.55	79.32	79.11	78.91	78.73	78.58	78.44	78.32	78.21	78.13	78.07	78.02	78.00	77.99	78.00	78.03	78.08	78.15	78.24	78.35	78.47	78.62	78.78	78.97	79.17	79.39	79.63	79.89	80.17	80.47	80.78	81.11	81.46	81.83	82.22	82.63	83.05	83.49	83.94	84.41	84.88	85.34	85.76	86.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	175.08	348.74	346.74	431.32	429.27	427.19	425.07	422.92	420.78	418.65	416.55	414.50	412.50	410.56	408.68	406.88	405.15	403.49	401.92	400.42	399.02	397.69	396.45	395.30	394.25	393.28	392.40	391.61	390.92	390.32	389.81	389.40	389.08	388.86	388.73	388.69	388.75	388.91	389.16	389.50	389.95	390.48	391.11	391.83	392.65	393.57	394.57	395.67	396.87	398.15	399.53	401.00	402.57	404.22	405.96	407.80	409.72	411.73	413.83	416.01	418.27	420.62	423.04	425.53	428.10	430.76	433.56	349.41	351.51	176.61	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	351.27	437.49	522.72	519.96	517.16	600.76	597.90	594.93	591.93	588.92	585.93	582.99	580.12	577.32	574.60	571.97	569.45	567.02	564.71	562.50	560.41	558.44	556.58	554.85	553.24	551.76	550.40	549.17	548.07	547.10	546.26	545.55	544.98	544.53	544.22	544.04	543.99	544.07	544.29	544.64	545.12	545.74	546.49	547.37	548.38	549.53	550.81	552.22	553.76	555.43	557.23	559.16	561.21	563.40	565.71	568.15	570.71	573.40	576.21	579.14	582.19	585.35	588.62	591.99	595.45	598.98	602.54	519.65	523.28	526.70	441.82	355.49	89.21	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	177.62	352.99	527.39	524.66	609.21	605.98	689.44	686.03	682.62	679.18	675.73	672.28	668.87	665.52	662.24	659.04	655.95	652.95	650.07	647.30	644.66	642.15	639.76	637.51	635.40	633.43	631.59	629.90	628.35	626.95	625.70	624.59	623.63	622.82	622.16	621.65	621.30	621.09	621.03	621.13	621.38	621.78	622.33	623.03	623.89	624.89	626.05	627.36	628.81	630.42	632.18	634.08	636.13	638.33	640.68	643.17	645.80	648.58	651.50	654.57	657.77	661.10	664.57	668.17	671.89	675.72	679.67	683.71	687.86	692.15	609.45	613.52	529.45	532.81	357.65	179.36	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	354.58	529.91	615.34	611.88	695.86	692.11	688.36	771.12	767.32	763.43	759.52	755.64	751.79	748.02	744.33	740.73	737.25	733.89	730.65	727.54	724.58	721.75	719.07	716.55	714.17	711.95	709.89	707.99	706.25	704.68	703.27	702.03	700.95	700.04	699.30	698.73	698.33	698.10	698.03	698.14	698.42	698.87	699.49	700.28	701.24	702.37	703.67	705.14	706.77	708.58	710.55	712.69	714.99	717.46	720.09	722.89	725.84	728.96	732.24	735.67	739.26	743.00	746.89	750.92	755.09	759.39	763.80	768.30	772.85	690.92	695.58	700.23	616.82	620.96	535.82	359.52	90.12	0.00	0.00	
0.00	0.00	0.00	357.07	533.05	618.60	703.33	699.28	782.81	778.53	774.26	770.10	766.09	762.11	758.17	754.26	750.42	746.65	742.97	739.39	735.92	732.57	729.34	726.25	723.29	720.48	717.81	715.29	712.93	710.72	708.66	706.77	705.04	703.47	702.07	700.83	699.75	698.85	698.11	697.54	697.14	696.91	696.85	696.96	697.23	697.68	698.30	699.09	700.04	701.17	702.46	703.93	705.56	707.35	709.32	711.45	713.75	716.20	718.83	721.61	724.56	727.66	730.92	734.34	737.91	741.63	745.50	749.52	753.67	757.96	762.39	766.95	771.67	776.65	781.81	786.95	704.14	708.87	624.54	538.97	361.12	0.00	0.00	
0.00	0.00	179.92	446.77	532.99	618.31	702.89	786.79	782.27	777.83	860.29	855.76	851.24	846.75	842.31	837.93	833.62	829.41	825.31	821.32	817.45	813.72	810.14	806.70	803.41	800.28	797.32	794.52	791.89	789.43	787.15	785.05	783.12	781.38	779.82	778.44	777.25	776.25	775.43	774.79	774.35	774.09	774.02	774.14	774.45	774.95	775.63	776.51	777.57	778.82	780.26	781.88	783.69	785.69	787.87	790.23	792.78	795.51	798.42	801.51	804.78	808.22	811.84	815.62	819.58	823.71	828.00	832.45	837.06	841.83	846.74	851.81	857.02	862.33	780.69	786.01	791.37	708.11	623.99	538.76	451.85	181.21	0.00	
0.00	0.00	359.86	536.68	622.40	707.22	791.30	786.60	869.62	864.77	859.88	855.14	850.51	845.95	841.46	837.05	832.74	828.52	824.41	820.42	816.56	812.84	809.25	805.82	802.54	799.41	796.45	793.66	791.04	788.58	786.31	784.21	782.29	780.55	778.99	777.61	776.42	775.42	774.60	773.97	773.53	773.27	773.20	773.32	773.63	774.12	774.81	775.68	776.74	777.99	779.42	781.04	782.85	784.84	787.02	789.37	791.92	794.64	797.54	800.62	803.88	807.31	810.91	814.69	818.63	822.74	827.01	831.45	836.04	840.80	845.72	850.80	856.07	861.54	867.20	872.84	790.64	796.07	712.60	628.05	542.03	362.68	0.00	
0.00	0.00	358.99	536.45	622.41	707.34	791.39	786.65	869.62	864.62	859.67	854.85	850.13	845.52	840.99	836.55	832.22	827.98	823.87	819.87	816.01	812.28	808.70	805.26	801.98	798.86	795.90	793.11	790.49	788.04	785.76	783.66	781.75	780.01	778.45	777.08	775.89	774.88	774.07	773.44	772.99	772.73	772.67	772.79	773.09	773.59	774.27	775.14	776.20	777.45	778.88	780.50	782.30	784.29	786.46	788.82	791.35	794.07	796.96	800.04	803.28	806.71	810.30	814.06	817.99	822.09	826.35	830.77	835.35	840.09	844.99	850.07	855.34	860.83	866.52	872.21	790.00	795.54	712.14	627.69	541.91	363.39	0.00	
