0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 9.08 9.05 9.01 8.96 8.91 8.86 8.81 8.77 8.73 8.70 8.68 8.67 8.67 8.68 8.71 8.75 8.81 8.89 9.00 9.13 9.30 9.50 9.74 10.04 10.38 10.79 11.27 11.84 12.50 13.27 14.16 15.20 16.39 17.76 19.33 21.11 23.12 25.37 27.86 30.61 33.60 36.81 40.23 43.82 47.56 51.41 55.34 59.32 63.32 67.32 71.31 75.27 79.19 83.07 86.91 90.69 94.44 98.13 101.78 105.39 108.96 112.48 115.96 119.40 122.81 126.18 129.51 132.81 136.07 139.30 142.49 145.65 148.77 151.86 154.90 157.90 160.85 163.73 166.50 169.10 171.39 173.01 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 0.00 18.65 37.14 37.00 45.97 45.72 45.46 45.21 44.96 44.71 44.48 44.27 44.09 43.93 43.82 43.75 43.72 43.76 43.87 44.05 44.33 44.70 45.19 45.81 46.58 47.52 48.66 50.02 51.64 53.55 55.80 58.42 61.48 65.04 69.14 73.88 79.32 85.54 92.63 100.65 109.70 119.82 131.06 143.45 156.98 171.62 187.31 203.95 221.42 239.60 258.33 277.49 296.93 316.54 336.22 355.88 375.46 394.92 414.21 433.32 452.22 470.92 489.40 507.67 525.73 543.58 561.22 578.67 595.92 612.98 629.85 646.54 663.05 679.39 695.54 711.52 727.32 742.94 758.37 773.61 788.63 803.42 817.95 832.18 846.07 859.55 872.64 885.65 719.93 728.42 368.48 0.00 0.00 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 0.00 0.00 37.58 46.78 55.84 55.58 55.27 64.06 63.71 63.35 63.00 62.66 62.34 62.05 61.79 61.58 61.42 61.33 61.31 61.37 61.53 61.80 62.19 62.73 63.43 64.32 65.42 66.76 68.38 70.32 72.62 75.33 78.51 82.22 86.55 91.57 97.36 104.03 111.69 120.43 130.37 141.63 154.29 168.44 184.15 201.45 220.33 240.74 262.62 285.81 310.18 335.52 361.66 388.40 415.55 442.96 470.47 497.97 525.37 552.61 579.62 606.37 632.85 659.04 684.93 710.52 735.82 760.82 785.53 809.97 834.13 858.02 881.65 905.03 928.15 951.02 973.65 996.02 1018.15 1040.02 1061.62 1082.95 1103.98 1124.68 1145.02 1164.95 1184.36 1203.14 1221.03 1063.64 1079.78 1094.34 925.29 749.94 189.77 0.00 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 19.05 37.92 56.56 56.28 65.28 64.94 73.75 73.33 72.92 72.51 72.11 71.73 71.37 71.05 70.77 70.54 70.38 70.29 70.29 70.38 70.59 70.93 71.42 72.07 72.92 73.98 75.30 76.90 78.82 81.12 83.83 87.03 90.77 95.14 100.20 106.06 112.82 120.58 129.45 139.56 151.03 163.97 178.50 194.69 212.62 232.32 253.78 276.95 301.75 328.03 355.62 384.33 413.95 444.26 475.06 506.18 537.46 568.75 599.96 631.00 661.81 692.35 722.59 752.51 782.10 811.35 840.27 868.86 897.13 925.07 952.70 980.03 1007.06 1033.79 1060.23 1086.38 1112.25 1137.83 1163.12 1188.11 1212.80 1237.18 1261.21 1284.88 1308.14 1330.94 1353.23 1374.95 1396.13 1417.11 1259.77 1277.61 1112.16 1126.85 763.43 385.43 0.00 0.00 0.00 
0.00 0.00 0.00 0.00 38.19 57.02 66.16 65.82 74.75 74.35 73.91 82.60 82.15 81.69 81.24 80.82 80.42 80.07 79.77 79.53 79.36 79.28 79.29 79.42 79.69 80.10 80.68 81.45 82.45 83.69 85.23 87.09 89.33 91.99 95.13 98.82 103.13 108.15 113.96 120.68 128.40 137.25 147.35 158.83 171.83 186.46 202.84 221.06 241.21 263.30 287.33 313.25 340.96 370.31 401.12 433.18 466.26 500.13 534.58 569.40 604.42 639.49 674.50 709.34 743.95 778.27 812.26 845.91 879.20 912.12 944.67 976.85 1008.66 1040.12 1071.23 1101.99 1132.41 1162.50 1192.26 1221.70 1250.81 1279.60 1308.05 1336.18 1363.96 1391.38 1418.42 1445.06 1471.26 1496.95 1522.07 1546.49 1569.98 1418.08 1439.96 1460.83 1298.70 1316.83 1145.78 775.44 0.00 0.00 0.00 
0.00 0.00 0.00 38.56 57.52 66.71 75.78 75.37 84.24 83.77 83.28 82.78 82.31 81.85 81.41 81.00 80.62 80.29 80.01 79.79 79.65 79.60 79.66 79.83 80.14 80.60 81.24 82.09 83.16 84.50 86.13 88.10 90.46 93.26 96.56 100.41 104.91 110.12 116.15 123.08 131.02 140.10 150.42 162.11 175.28 190.06 206.54 224.81 244.93 266.93 290.79 316.47 343.86 372.85 403.25 434.88 467.53 500.99 535.05 569.52 604.23 639.05 673.84 708.51 742.99 777.22 811.16 844.77 878.04 910.96 943.52 975.71 1007.55 1039.04 1070.18 1100.97 1131.42 1161.53 1191.32 1220.77 1249.90 1278.70 1307.17 1335.30 1363.08 1390.51 1417.56 1444.23 1470.47 1496.27 1521.60 1546.46 1570.98 1595.82 1620.32 1643.91 1484.77 1505.90 1338.77 1166.01 789.46 0.00 0.00 
0.00 0.00 19.46 48.35 57.68 66.88 75.95 84.91 84.42 83.92 92.63 92.10 91.57 91.06 90.56 90.10 89.68 89.31 89.00 88.76 88.61 88.57 88.63 88.83 89.19 89.72 90.44 91.40 92.61 94.12 95.96 98.18 100.84 103.98 107.68 112.00 117.04 122.88 129.62 137.37 146.25 156.37 167.88 180.90 195.57 212.00 230.32 250.60 272.93 297.32 323.77 352.22 382.58 414.68 448.36 483.40 519.58 556.66 594.41 632.64 671.15 709.79 748.41 786.91 825.20 863.23 900.93 938.29 975.26 1011.85 1048.04 1083.83 1119.23 1154.23 1188.84 1223.07 1256.91 1290.39 1323.49 1356.23 1388.60 1420.60 1452.24 1483.50 1514.38 1544.86 1574.94 1604.60 1633.81 1662.56 1690.83 1718.59 1745.84 1772.40 1620.82 1645.33 1669.66 1507.73 1341.20 1169.21 989.67 400.22 0.00 
0.00 0.00 39.01 58.19 67.47 76.60 85.60 85.09 93.90 93.36 92.80 92.25 91.72 91.21 90.72 90.26 89.85 89.49 89.19 88.97 88.84 88.82 88.91 89.14 89.53 90.10 90.87 91.87 93.14 94.71 96.62 98.92 101.66 104.91 108.71 113.16 118.32 124.30 131.19 139.09 148.12 158.40 170.05 183.21 197.99 214.52 232.89 253.19 275.49 299.80 326.12 354.39 384.51 416.36 449.75 484.50 520.37 557.16 594.65 632.64 670.94 709.40 747.88 786.27 824.48 862.45 900.11 937.45 974.42 1011.01 1047.21 1083.02 1118.44 1153.46 1188.10 1222.35 1256.22 1289.71 1322.84 1355.59 1387.97 1419.99 1451.63 1482.90 1513.78 1544.27 1574.37 1604.04 1633.30 1662.13 1690.52 1718.51 1746.11 1773.43 1800.75 1827.12 1671.05 1695.63 1532.50 1364.01 1188.43 801.65 0.00 
0.00 0.00 39.03 58.31 67.62 76.77 85.77 85.25 94.06 93.51 92.95 92.39 91.85 91.34 90.85 90.39 89.98 89.63 89.34 89.13 89.02 89.00 89.11 89.36 89.77 90.37 91.17 92.20 93.51 95.12 97.08 99.44 102.24 105.55 109.43 113.95 119.21 125.28 132.26 140.26 149.39 159.77 171.52 184.76 199.61 216.19 234.59 254.89 277.15 301.39 327.61 355.75 385.72 417.38 450.58 485.12 520.79 557.39 594.71 632.54 670.71 709.05 747.44 785.77 823.93 861.87 899.52 936.85 973.82 1010.42 1046.64 1082.47 1117.91 1152.95 1187.61 1221.88 1255.77 1289.28 1322.42 1355.18 1387.57 1419.60 1451.24 1482.51 1513.40 1543.90 1573.99 1603.69 1632.97 1661.84 1690.31 1718.42 1746.21 1773.78 1801.11 1827.71 1671.62 1696.56 1533.53 1365.02 1190.03 805.67 0.00 
