0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	81.65	81.47	81.21	80.92	80.62	80.32	80.03	79.75	79.49	79.24	79.01	78.80	78.61	78.44	78.29	78.17	78.06	77.98	77.92	77.89	77.87	77.88	77.92	77.97	78.05	78.15	78.28	78.43	78.60	78.80	79.02	79.26	79.52	79.81	80.12	80.44	80.79	81.15	81.53	81.90	82.24	82.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	0.00	165.85	330.57	328.94	409.56	408.01	406.44	404.86	403.29	401.75	400.25	398.81	397.43	396.13	394.91	393.79	392.75	391.82	390.99	390.26	389.64	389.12	388.72	388.43	388.25	388.19	388.24	388.40	388.68	389.07	389.58	390.21	390.95	391.80	392.77	393.85	395.04	396.34	397.76	399.28	400.90	402.63	404.45	406.37	408.38	410.48	412.69	415.03	334.19	335.98	168.70	0.00	0.00	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	0.00	0.00	332.44	414.30	495.42	493.22	491.04	571.00	568.84	566.64	564.44	562.28	560.18	558.16	556.23	554.41	552.70	551.13	549.68	548.37	547.21	546.19	545.32	544.60	544.03	543.63	543.38	543.29	543.35	543.58	543.97	544.52	545.24	546.11	547.14	548.34	549.69	551.20	552.86	554.68	556.66	558.78	561.04	563.45	565.99	568.65	571.43	574.30	577.24	497.40	500.46	503.36	421.90	339.20	85.05	0.00	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	167.76	333.68	498.95	496.76	577.34	574.79	654.61	652.01	649.45	646.90	644.38	641.90	639.51	637.20	635.00	632.93	630.99	629.20	627.55	626.06	624.73	623.57	622.58	621.76	621.12	620.66	620.37	620.27	620.35	620.61	621.05	621.68	622.49	623.48	624.66	626.02	627.56	629.27	631.17	633.24	635.48	637.89	640.46	643.19	646.07	649.10	652.25	655.53	658.94	662.50	582.83	586.26	505.48	508.31	340.86	170.82	0.00	0.00	0.00	
0.00	0.00	0.00	0.00	334.87	500.81	582.03	579.26	659.40	656.45	653.56	732.89	730.03	727.15	724.30	721.51	718.81	716.21	713.75	711.42	709.24	707.22	705.38	703.71	702.22	700.91	699.80	698.88	698.16	697.64	697.32	697.21	697.29	697.59	698.08	698.79	699.69	700.81	702.13	703.65	705.37	707.29	709.41	711.73	714.24	716.93	719.81	722.87	726.09	729.47	732.99	736.63	740.34	661.27	665.15	669.04	588.81	592.28	510.60	342.24	85.72	0.00	0.00	
0.00	0.00	0.00	336.78	503.19	584.48	665.16	661.92	741.71	738.36	735.06	731.89	728.88	725.93	723.05	720.26	717.56	714.98	712.52	710.21	708.04	706.04	704.20	702.54	701.06	699.77	698.66	697.75	697.04	696.52	696.20	696.09	696.17	696.46	696.96	697.66	698.56	699.67	700.98	702.49	704.20	706.11	708.21	710.51	713.00	715.67	718.53	721.56	724.76	728.12	731.64	735.32	739.16	743.27	747.55	751.84	672.08	676.03	595.02	512.97	343.34	0.00	0.00	
0.00	0.00	169.46	421.24	503.01	584.10	664.64	744.70	741.13	737.65	816.71	813.26	809.85	806.52	803.27	800.13	797.11	794.22	791.48	788.90	786.49	784.26	782.22	780.37	778.73	777.29	776.06	775.04	774.25	773.67	773.32	773.19	773.28	773.60	774.15	774.92	775.93	777.15	778.60	780.28	782.17	784.28	786.62	789.16	791.91	794.87	798.03	801.39	804.93	808.66	812.56	816.64	820.88	825.23	746.41	750.84	755.30	675.18	594.36	512.60	429.43	172.06	0.00	
0.00	0.00	338.86	505.87	587.26	667.97	748.15	744.42	823.83	820.04	816.26	812.64	809.14	805.76	802.48	799.33	796.30	793.40	790.67	788.09	785.68	783.46	781.42	779.58	777.93	776.50	775.27	774.26	773.47	772.89	772.54	772.41	772.50	772.82	773.37	774.14	775.13	776.35	777.80	779.46	781.35	783.45	785.76	788.29	791.03	793.97	797.11	800.44	803.97	807.68	811.57	815.65	819.93	824.41	829.08	833.75	754.49	758.99	678.68	597.47	515.04	344.27	0.00	
0.00	0.00	338.10	505.59	587.17	667.97	748.13	744.37	823.74	819.84	816.00	812.32	808.76	805.34	802.03	798.85	795.81	792.91	790.16	787.58	785.17	782.95	780.91	779.07	777.43	775.99	774.77	773.75	772.96	772.38	772.03	771.90	771.99	772.31	772.85	773.62	774.61	775.83	777.26	778.92	780.80	782.89	785.19	787.71	790.43	793.36	796.48	799.79	803.29	806.98	810.86	814.92	819.19	823.68	828.37	833.07	753.80	758.39	678.13	597.01	514.78	344.76	0.00	
